BGC_NAME	TAXA_NAME	ACC_ID	PERC_IDENT	COVERAGE	ORGANISM	PHYLUM	Manual_PHYLUM	Manual_ORGANISM
O2.UC19.2__NODE_3535_length_6441_cov_1.23661__6441__nrps__ANTISMASH__0_6441	"Bacteroides ovatus SD CMC 3f contig00096, whole genome shotgun sequence"	NZ_ADMO01000148	91.828	99	Bacteroides ovatus SD CMC 3f	Bacteroidetes		
O2.UC19.2__NODE_4176_length_5559_cov_1.11047__5559__nrps__ANTISMASH__0_5559	"Clostridiales bacterium VE202-14, whole genome shotgun sequence"	NZ_BAIB02000005	98.921	100	N/A	N/A	Firmicutes	Clostridiales bacterium VE202-14
O2.UC19.2__NODE_4651_length_5029_cov_0.976478__5029__lantipeptide__ANTISMASH__0_5029	"Coprobacillus cateniformis strain D6 cont1.2, whole genome shotgun sequence"	NZ_AKCB01000002	100	95	N/A	N/A	Firmicutes	Coprobacillus cateniformis
O2.UC2.0__NODE_1749_length_11584_cov_22.9975__11584__microcin__ANTISMASH__0_11584	"Dorea formicigenerans ATCC 27755 D_formicigenerans-3.0.1_Cont399, whole genome shotgun sequence"	NZ_AAXA02000015	98.361	99	Dorea formicigenerans ATCC 27755	Firmicutes		
O2.UC2.0__NODE_2614_length_8683_cov_2.57812__8683__lantipeptide__ANTISMASH__0_8683	"Blautia obeum strain 2789STDY5834861, whole genome shotgun sequence"	NZ_CYZP01000002	97.548	54	Blautia obeum	Firmicutes		
O2.UC22.2__NODE_3328_length_9607_cov_1.96367__9607__lantipeptide__ANTISMASH__0_9607	"Eubacterium hallii isolate EH1 genome assembly, chromosome: I"	NZ_LT907978	99.875	99	Eubacterium hallii	Firmicutes		
O2.UC2.2__NODE_947_length_27174_cov_4.78152__15999__lantipeptide__ANTISMASH__0_15999	"Bifidobacterium pseudocatenulatum strain CA-D29, whole genome shotgun sequence"	NZ_BCYB01000076	95.024	76	Bifidobacterium pseudocatenulatum	Actinobacteria		
O2.UC2.2__NODE_961_length_26871_cov_9.35244__26871__thiopeptide__ANTISMASH__0_26871	"Eubacterium rectale strain 2789STDY5834884, whole genome shotgun sequence"	NZ_CZAJ01000006	99.871	83	Eubacterium rectale	Firmicutes		
O2.UC2.2__NODE_3595_length_10045_cov_1.84254__10045__arylpolyene__ANTISMASH__0_10045	"Tannerella sp. 6_1_58FAA_CT1 supercont1.4, whole genome shotgun sequence"	NZ_JH414769	97.182	55	Tannerella sp. 6_1_58FAA_CT1	Bacteroidetes		
O2.UC23.2__NODE_52_length_75146_cov_2.2896__18508__lantipeptide__ANTISMASH__56638_75146	"Streptococcus thermophilus LMG 18311, complete genome"	NC_006448	99.49	69	Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311)	Firmicutes		
O2.UC23.2__NODE_123_length_53602_cov_5.17215__42532__other__ANTISMASH__8083_50615	"Ruminococcus bicirculans chromosome II, complete genome"	NZ_HF545617	97.356	77	Ruminococcus bicirculans	Firmicutes		
O2.UC23.2__NODE_1942_length_13149_cov_32.0403__13149__resorcinol__ANTISMASH__0_13149	"Bacteroides sp. An19 An19_contig_5, whole genome shotgun sequence"	NZ_NFKD01000005	93.448	88	Bacteroides sp. An19	Bacteroidetes		
O2.UC23.2__NODE_2626_length_10860_cov_1.56964__10860__other__ANTISMASH__0_10860	"Streptococcus thermophilus strain B59671 chromosome, complete genome"	NZ_CP022547	99.918	67	Streptococcus thermophilus	Firmicutes		
O2.UC23.2__NODE_3504_length_8852_cov_2.02251__8852__other__ANTISMASH__0_8852	"Eubacterium ramulus strain 21 contig203, whole genome shotgun sequence"	NZ_JRFU01000203	92.404	78	N/A	N/A	Firmicutes	Eubacterium ramulus
O2.UC24.2__NODE_3135_length_8512_cov_1.5865__8512__arylpolyene__ANTISMASH__0_8512	"Prevotella lascolaii strain KHD1, whole genome shotgun sequence"	NZ_LT556049	98.29	51	N/A	N/A	Bacteroidetes	Prevotella lascolaii
O2.UC26.0__NODE_79_length_109477_cov_2.7509__43175__nrps__ANTISMASH__4338_47513	"Clostridium sp. AT4 strain AT5, whole genome shotgun sequence"	NZ_LN999827	98.833	80	N/A	N/A	Firmicutes	Clostridium sp. AT4
O2.UC26.0__NODE_912_length_25616_cov_8.1023__25616__siderophore__ANTISMASH__0_25616	"Escherichia coli strain TUM18764, whole genome shotgun sequence"	NZ_BGYR01000050	99.996	100	N/A	N/A	Proteobacteria	Escherichia coli
O2.UC26.2__NODE_98_length_110703_cov_5.60755__10723__bacteriocin__ANTISMASH__99980_110703	"Fusobacterium ulcerans strain NCTC12112 genome assembly, chromosome: 1"	NZ_LS483487	98.999	99	N/A	N/A	Fusobacteria	Fusobacterium ulcerans
O2.UC26.2__NODE_140_length_90144_cov_5.01744__42430__other__ANTISMASH__19722_62152	"Bacteroides fragilis str. S24L34 gbfS24L34.contig.46, whole genome shotgun sequence"	NZ_JGEO01000047	99.46	100	N/A	N/A	Bacteroidetes	Bacteroides fragilis str. S24L34
O2.UC26.2__NODE_245_length_65280_cov_19.1839__52086__nrps__ANTISMASH__0_52086	"Clostridioides difficile isolate CD105LC4, whole genome shotgun sequence"	NZ_FMMH01000009	98.653	80	N/A	N/A	Firmicutes	Clostridioides difficile 
O2.UC26.2__NODE_1221_length_15811_cov_8.18767__15811__sactipeptide__ANTISMASH__0_15811	"Ruminococcus gnavus strain RJX1118 RJX1118_12, whole genome shotgun sequence"	NZ_NIHM01000012	97.615	53	N/A	N/A	Firmicutes	Ruminococcus gnavus
O2.UC26.2__NODE_1518_length_12387_cov_6.75251__12387__other__ANTISMASH__0_12387	"Fusobacterium ulcerans 12-1B strain 12_1B supercont2.1, whole genome shotgun sequence"	NZ_KE161007	99	100	Fusobacterium ulcerans 12-1B	Fusobacteria		
O2.UC27.0__NODE_249_length_68379_cov_7.85042__10984__microcin__ANTISMASH__0_10984	"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence"	NZ_GG698602	95.72	77	Dialister invisus DSM 15470	Firmicutes		
O2.UC27.0__NODE_272_length_64235_cov_5.29347__34842__other__ANTISMASH__29393_64235	"Roseburia inulinivorans strain L1-83, whole genome shotgun sequence"	NZ_CVRS01000048	99.291	78	Roseburia inulinivorans	Firmicutes		
O2.UC27.0__NODE_1358_length_18223_cov_13.1286__18223__t2pks__ANTISMASH__0_18223	"Eubacterium eligens strain 2789STDY5834875, whole genome shotgun sequence"	NZ_CZBU01000001	99.164	82	Eubacterium eligens	Firmicutes		
O2.UC27.0__NODE_3490_length_8048_cov_1.35756__8048__bacteriocin__ANTISMASH__0_8048	"Streptococcus salivarius strain JF, complete genome"	NZ_CP014144	97.702	100	Streptococcus salivarius	Firmicutes		
O2.UC27.0__NODE_4979_length_5846_cov_1.40597__5846__lantipeptide__ANTISMASH__0_5846	"Streptococcus salivarius M18 plasmid pSsal-M18, whole genome shotgun sequence"	NZ_AGBV01000006	99.709	100	Streptococcus salivarius M18	Firmicutes		
O2.UC27.2__NODE_149_length_83581_cov_4.7842__11078__microcin__ANTISMASH__72503_83581	"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence"	NZ_GG698602	98.899	99	Dialister invisus DSM 15470	Firmicutes		
O2.UC27.2__NODE_371_length_47497_cov_2.18766__25369__other__ANTISMASH__0_25369	"Roseburia inulinivorans strain L1-83, whole genome shotgun sequence"	NZ_CVRS01000048	99.301	63	Roseburia inulinivorans	Firmicutes		
O2.UC27.2__NODE_403_length_44525_cov_2.11642__20156__lantipeptide__ANTISMASH__11745_31901	"Streptococcus salivarius M18 plasmid pSsal-M18, whole genome shotgun sequence"	NZ_AGBV01000006	100	99	Streptococcus salivarius M18	Firmicutes		
O2.UC27.2__NODE_1545_length_12887_cov_2.17152__12887__lantipeptide__ANTISMASH__0_12887	Streptococcus salivarius CCHSS3 complete genome	NC_015760	96.721	95	Streptococcus salivarius (strain CCHSS3)	Firmicutes		
O2.UC27.2__NODE_1726_length_11556_cov_2.57012__11556__butyrolactone__ANTISMASH__0_11556	"Streptococcus intermedius strain 32811 32811-contig_1, whole genome shotgun sequence"	NZ_PNRH01000001	98.126	65	Streptococcus intermedius	Firmicutes		
O2.UC29.0__NODE_1252_length_15038_cov_5.20818__15038__other__ANTISMASH__0_15038	"Dorea sp. Marseille-P4003, whole genome shotgun sequence"	NZ_OEPZ01000003	99.982	99	N/A	N/A	Firmicutes	Dorea sp. Marseille-P4003
O2.UC29.0__NODE_3668_length_6344_cov_0.92463__6344__terpene__ANTISMASH__0_6344	"Akkermansia muciniphila strain BSM09 scaf-1, whole genome shotgun sequence"	NZ_PJLM01000001	98.929	100	Akkermansia muciniphila	Verrucomicrobia		
O2.UC29.2__NODE_1828_length_12355_cov_2.1278__12355__arylpolyene__ANTISMASH__0_12355	"Akkermansia muciniphila strain GP21 scaf-1, whole genome shotgun sequence"	NZ_PJKT01000001	99.354	71	Akkermansia muciniphila	Verrucomicrobia		
O2.UC30.0__NODE_223_length_41413_cov_2.21268__33210__other__ANTISMASH__0_33210	"Streptococcus thermophilus strain ND07, complete genome"	NZ_CP016394	99.582	99	Streptococcus thermophilus	Firmicutes		
O2.UC30.0__NODE_2679_length_11096_cov_1.72493__11003__glycocin__ANTISMASH__93_11096	"Lachnoclostridium sp. SNUG30370 scaffold_15, whole genome shotgun sequence"	NZ_PYLP01000016	97.499	66	Lachnoclostridium sp. SNUG30370	Firmicutes		
O2.UC30.2__NODE_918_length_24951_cov_18.3517__24951__nrps__ANTISMASH__0_24951	"Bacteroides barnesiae DSM 18169 = JCM 13652 strain DSM 18169 C510DRAFT_scaffold00005.5, whole genome shotgun sequence"	NZ_KB894647	98.167	59	N/A	N/A	Bacteroidetes	Bacteroides barnesiae DSM 18169 = JCM 13652
O2.UC31.2__NODE_245_length_50235_cov_2.27613__36351__nrps__ANTISMASH__0_36351	"Anaeromassilibacillus sp. Marseille-P3876, whole genome shotgun sequence"	NZ_OLMR01000003	98.88	75	N/A	N/A	Firmicutes	Anaeromassilibacillus sp. Marseille-P3876
O2.UC31.2__NODE_690_length_28327_cov_3.00828__28327__other__ANTISMASH__0_28327	"Anaeromassilibacillus sp. Marseille-P3876, whole genome shotgun sequence"	NZ_OLMR01000002	98.12	54	N/A	N/A	Firmicutes	Anaeromassilibacillus sp. Marseille-P3876
O2.UC31.2__NODE_1581_length_16385_cov_1.87281__16385__other__ANTISMASH__0_16385	"Coprococcus comes strain 2789STDY5834962, whole genome shotgun sequence"	NZ_CYXR01000007	98.637	66	Coprococcus comes	Firmicutes		
O2.UC32.0__NODE_1132_length_20647_cov_4.73038__20647__resorcinol__ANTISMASH__0_20647	"Bacteroides vulgatus str. 3775 SR(B) 19 gbf3775SRB19.contig.28, whole genome shotgun sequence"	NZ_JNHJ01000029	98.663	95	N/A	N/A	Bacteroidetes	Bacteroides vulgatus str. 3775 SR(B) 19
O2.UC32.2__NODE_1639_length_16186_cov_1.46662__16186__lantipeptide__ANTISMASH__0_16186	"Dorea sp. Marseille-P4042, whole genome shotgun sequence"	NZ_OLMI01000002	99.82	93	N/A	N/A	Firmicutes	Dorea sp. Marseille-P4042
O2.UC32.2__NODE_4797_length_6796_cov_4.82629__6796__nrps__ANTISMASH__0_6796	"Blautia sp. Marseille-P2398, whole genome shotgun sequence"	NZ_LT546010	98.35	77	N/A	N/A	Firmicutes	Blautia sp. Marseille-P2398
O2.UC3.2__NODE_2046_length_12958_cov_2.83422__12958__bacteriocin__ANTISMASH__0_12958	"Lactobacillus ruminis ATCC 27782, complete genome"	NC_015975	97.243	99	Lactobacillus ruminis (strain ATCC 27782 / RF3)	Firmicutes		
O2.UC34.0__NODE_920_length_15927_cov_1.36864__14674__lassopeptide__ANTISMASH__0_14674	Streptococcus salivarius JIM8777 complete genome	NC_017595	99.711	99	Streptococcus salivarius (strain JIM8777)	Firmicutes		
O2.UC34.0__NODE_1960_length_9348_cov_1.70031__9348__lassopeptide__ANTISMASH__0_9348	"Streptococcus salivarius strain 85-06 S24 SAS2401000007, whole genome shotgun sequence"	NZ_LXOU01000007	98.611	97	Streptococcus salivarius	Firmicutes		
O2.UC34.0__NODE_3831_length_5787_cov_1.20551__5787__other__ANTISMASH__0_5787	"Bacteroides fragilis str. 3725 D9(v) gbf3725D9v.contig.58, whole genome shotgun sequence"	NZ_JGDQ01000059	97.231	83	N/A	N/A	Bacteroidetes	Bacteroides fragilis str. 3725 D9(v)
O2.UC34.0__NODE_4033_length_5549_cov_1.27903__5549__nrps__ANTISMASH__0_5549	"Bacteroides ovatus SD CMC 3f contig00096, whole genome shotgun sequence"	NZ_ADMO01000148	99.728	81	Bacteroides ovatus SD CMC 3f	Bacteroidetes		
O2.UC34.2__NODE_361_length_39400_cov_3.24514__22609__lantipeptide__ANTISMASH__16791_39400	"Streptococcus pneumoniae strain M26365 chromosome, complete genome"	NZ_CP031248	96.239	75	N/A	N/A	Firmicutes	Streptococcus pneumoniae
O2.UC34.2__NODE_368_length_38945_cov_3.43286__38945__bacteriocin__ANTISMASH__0_38945	"Streptococcus equinus strain FDAARGOS_251 chromosome, complete genome"	NZ_CP020438	95.549	95	Streptococcus equinus (Streptococcus bovis)	Firmicutes		
O2.UC34.2__NODE_770_length_21387_cov_3.47295__21387__bacteriocin__ANTISMASH__0_21387	"Streptococcus salivarius strain MIT 14-1770-C1 NODE_1_length_303558_cov_38.0466, whole genome shotgun sequence"	NZ_NXMB01000001	97.731	86	Streptococcus salivarius	Firmicutes		
O2.UC34.2__NODE_780_length_21279_cov_1.88918__21279__lantipeptide__ANTISMASH__0_21279	"Blautia obeum strain 2789STDY5834921, whole genome shotgun sequence"	NZ_CZBA01000009	98.998	77	Blautia obeum	Firmicutes		
O2.UC34.2__NODE_824_length_20412_cov_2.98708__20412__thiopeptide__ANTISMASH__0_20412	"Streptococcus salivarius strain 34-24 S10 SAS1001000015, whole genome shotgun sequence"	NZ_LXIH01000015	98.731	86	Streptococcus salivarius	Firmicutes		
O2.UC34.2__NODE_2036_length_9913_cov_3.45689__9913__lantipeptide__ANTISMASH__0_9913	"Bifidobacterium pseudocatenulatum strain CA-K29b, whole genome shotgun sequence"	NZ_BCYD01000042	99.386	99	Bifidobacterium pseudocatenulatum	Actinobacteria		
O2.UC34.2__NODE_4028_length_5464_cov_9.41764__5464__bacteriocin__ANTISMASH__0_5464	"Lactobacillus amylovorus DSM 20531, complete genome"	NZ_CP017706	99.818	99	Lactobacillus amylovorus DSM 20531	Firmicutes		
O2.UC35.0__NODE_1425_length_18261_cov_1.33831__18261__arylpolyene__ANTISMASH__0_18261	"Bacteroides cellulosilyticus strain WH2, complete genome"	NZ_CP012801	98.879	99	Bacteroides cellulosilyticus	Bacteroidetes		
O2.UC35.0__NODE_5102_length_7056_cov_1.13027__7056__bacteriocin__ANTISMASH__0_7056	"Streptococcus sp. CCH5-D3 CCH5-D3_contig60, whole genome shotgun sequence"	NZ_LSIW01000060	96.618	98	N/A	N/A	Firmicutes	Streptococcus sp. CCH5-D3
O2.UC35.0__NODE_6199_length_5959_cov_1.24932__5959__nrps__ANTISMASH__0_5959	"Blautia obeum strain 2789STDY5834957, whole genome shotgun sequence"	NZ_CZBP01000007	99.921	64	Blautia obeum	Firmicutes		
O2.UC35.2__NODE_19_length_172972_cov_8.56981__23150__lantipeptide__ANTISMASH__61624_84774	"Blautia wexlerae strain 2789STDY5834911, whole genome shotgun sequence"	NZ_CZAW01000034	97.731	70	Blautia wexlerae	Firmicutes		
O2.UC35.2__NODE_168_length_74603_cov_3.88159__41143__resorcinol__ANTISMASH__24939_66082	"Bacteroides vulgatus strain 2789STDY5834842, whole genome shotgun sequence"	NZ_CYZI01000002	97.141	78	Bacteroides vulgatus	Bacteroidetes		
O2.UC35.2__NODE_342_length_51352_cov_3.60247__33579__lantipeptide__ANTISMASH__17773_51352	"Blautia obeum strain 2789STDY5834861, whole genome shotgun sequence"	NZ_CYZP01000002	98.746	90	Blautia obeum	Firmicutes		
O2.UC35.2__NODE_7213_length_5097_cov_3.16819__5097__resorcinol__ANTISMASH__0_5097	"Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 strain DSM 17679 B035DRAFT_scaffold_15.16, whole genome shotgun sequence"	NZ_KB890326	99.383	95	N/A	N/A	Bacteroidetes	Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
O2.UC36.2__NODE_4401_length_5541_cov_3.42891__5541__lantipeptide__ANTISMASH__0_5541	"Blautia wexlerae DSM 19850 K316DRAFT_scaffold00148.148_C, whole genome shotgun sequence"	NZ_AXVN01000148	98.946	63	N/A	N/A	Firmicutes	Blautia wexlerae DSM 19850
O2.UC37.0__NODE_1047_length_20443_cov_3.24088__15779__bacteriocin__ANTISMASH__4664_20443	"Eubacterium rectale ATCC 33656, complete genome"	NC_012781	97.994	70	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale)	Firmicutes		
O2.UC37.2__NODE_492_length_47773_cov_7.38684__33583__lantipeptide__ANTISMASH__14190_47773	"Streptococcus thermophilus strain B59671 chromosome, complete genome"	NZ_CP022547	98.827	98	Streptococcus thermophilus	Firmicutes		
O2.UC37.2__NODE_786_length_35300_cov_5.98561__26046__other__ANTISMASH__0_26046	"Streptococcus thermophilus strain KLDS 3.1003, complete genome"	NZ_CP016877	98.972	100	Streptococcus thermophilus	Firmicutes		
O2.UC38.0__NODE_27_length_108603_cov_7.52094__11429__butyrolactone__ANTISMASH__97174_108603	"Klebsiella variicola strain BIDMC88 aeusr-supercont1.1, whole genome shotgun sequence"	NZ_KQ089631	100	100	Klebsiella variicola	Proteobacteria		
O2.UC38.0__NODE_569_length_24953_cov_7.40971__24953__nrps__ANTISMASH__0_24953	"Klebsiella variicola strain WUSM_KV_36 NODE_38_length_49692_cov_31.1886, whole genome shotgun sequence"	NZ_QIXM01000038	99.921	99	N/A	N/A	Proteobacteria	Klebsiella variicola
O2.UC38.0__NODE_1737_length_10512_cov_4.13742__10512__nrps__ANTISMASH__0_10512	"Ruminococcus sp. 5_1_39BFAA acpfZ-supercont2.3, whole genome shotgun sequence"	NZ_ACII02000003	98.449	94	Ruminococcus sp. 5_1_39BFAA	Firmicutes		
O2.UC38.0__NODE_1910_length_9649_cov_14.1401__9649__bacteriocin__ANTISMASH__0_9649	"Klebsiella variicola strain WUSM_KV_36 NODE_20_length_100237_cov_36.1414, whole genome shotgun sequence"	NZ_QIXM01000020	100	100	N/A	N/A	Proteobacteria	Klebsiella variicola
O2.UC38.2__NODE_656_length_25115_cov_6.9492__25115__nrps__ANTISMASH__0_25115	"Klebsiella variicola strain WUSM_KV_36 NODE_38_length_49692_cov_31.1886, whole genome shotgun sequence"	NZ_QIXM01000038	99.988	99	N/A	N/A	Proteobacteria	Klebsiella variicola
O2.UC40.0__NODE_83_length_78824_cov_4.70559__41221__arylpolyene__ANTISMASH__24070_65291	"Bacteroides intestinalis strain KLE1704 Scaffold135, whole genome shotgun sequence"	NZ_KQ968681	98.381	99	Bacteroides intestinalis	Bacteroidetes		
O2.UC40.0__NODE_572_length_31279_cov_4.51163__26382__resorcinol__ANTISMASH__4897_31279	"Bacteroides dorei strain An16 An16_contig_5, whole genome shotgun sequence"	NZ_NFKX01000005	96.519	76	Bacteroides dorei	Bacteroidetes		
O2.UC40.0__NODE_2356_length_11454_cov_1.20563__11454__nrps__ANTISMASH__0_11454	"Anaeromassilibacillus sp. Marseille-P3876, whole genome shotgun sequence"	NZ_OLMR01000003	98.347	94	N/A	N/A	Firmicutes	Anaeromassilibacillus sp. Marseille-P3876
O2.UC40.2__NODE_155_length_71854_cov_8.45455__47506__arylpolyene__ANTISMASH__9766_57272	"Bacteroides cellulosilyticus strain WH2, complete genome"	NZ_CP012801	98.908	100	Bacteroides cellulosilyticus	Bacteroidetes		
O2.UC40.2__NODE_238_length_57921_cov_2.74441__23548__nrps__ANTISMASH__34373_57921	"Coprococcus eutactus strain 2789STDY5608829, whole genome shotgun sequence"	NZ_CYYZ01000001	98.826	90	Coprococcus eutactus	Firmicutes		
O2.UC40.2__NODE_5802_length_6063_cov_1.24484__6063__nrps__ANTISMASH__0_6063	Ruminococcus champanellensis type strain 18P13T draft genome	NC_021039	99.978	94	Ruminococcus champanellensis (strain DSM 18848 / JCM 17042 / KCTC 15320 / 18P13)	Firmicutes		
O2.UC41.0__NODE_722_length_29497_cov_2.19999__29497__other__ANTISMASH__0_29497	"Roseburia inulinivorans strain L1-83, whole genome shotgun sequence"	NZ_CVRS01000048	99.789	63	Roseburia inulinivorans	Firmicutes		
O2.UC4.2__NODE_288_length_56103_cov_2.23144__14134__bacteriocin__ANTISMASH__41969_56103	"Lactobacillus salivarius strain CCuG47826 CCuG47826_contig_36, whole genome shotgun sequence"	NZ_NBEO01000036	100	100	N/A	N/A	Firmicutes	Lactobacillus salivarius
O2.UC4.2__NODE_2825_length_12709_cov_4.34527__12709__nrps__ANTISMASH__0_12709	"Coprococcus eutactus ATCC 27759 Scfld_02_17, whole genome shotgun sequence"	NZ_DS483537	98.658	74	Coprococcus eutactus ATCC 27759	Firmicutes		
O2.UC4.2__NODE_7415_length_5584_cov_2.80195__5584__bacteriocin__ANTISMASH__0_5584	"Lactococcus lactis strain PAZ NODE_5_length_80208_cov_358.838, whole genome shotgun sequence"	NZ_PREW01000005	95.415	61	Lactococcus lactis	Firmicutes		
O2.UC43.0__NODE_3545_length_6525_cov_1.61468__6525__nrps__ANTISMASH__0_6525	"Blautia obeum strain 2789STDY5608838, whole genome shotgun sequence"	NZ_CYZA01000031	95.743	90	Blautia obeum	Firmicutes		
O2.UC43.2__NODE_27_length_85697_cov_3.82589__32927__lantipeptide__ANTISMASH__52770_85697	"Roseburia faecis strain 2789STDY5608863, whole genome shotgun sequence"	NZ_CYXV01000003	99.702	79	Roseburia faecis	Firmicutes		
O2.UC44.0__NODE_2027_length_12975_cov_1.86741__12975__lantipeptide__ANTISMASH__0_12975	"Blautia obeum strain 2789STDY5834861, whole genome shotgun sequence"	NZ_CYZP01000002	99.816	72	Blautia obeum	Firmicutes		
O2.UC44.2__NODE_1454_length_17419_cov_4.14449__16963__bacteriocin__ANTISMASH__456_17419	"Eubacterium rectale strain 2789STDY5608860, whole genome shotgun sequence"	NZ_CYYW01000025	98.6	82	Eubacterium rectale	Firmicutes		
O2.UC44.2__NODE_2186_length_12877_cov_12.4771__10481__microcin__ANTISMASH__2396_12877	"Subdoligranulum sp. APC924/74 NODE_31_length_29646_cov_718.539, whole genome shotgun sequence"	NZ_PSQF01000031	99.249	89	N/A	N/A	Firmicutes	Subdoligranulum sp. APC924/74
O2.UC44.2__NODE_5051_length_6488_cov_1.74382__6488__bacteriocin__ANTISMASH__0_6488	"Lactobacillus ruminis SPM0211 83_4, whole genome shotgun sequence"	NZ_AFOJ01000004	99.069	100	Lactobacillus ruminis SPM0211	Firmicutes		
O2.UC46.2__NODE_4840_length_7300_cov_1.25783__7300__lantipeptide__ANTISMASH__0_7300	"Blautia wexlerae DSM 19850 K316DRAFT_scaffold00112.112_C, whole genome shotgun sequence"	NZ_AXVN01000112	99.545	84	N/A	N/A	Firmicutes	Blautia wexlerae DSM 19850
O2.UC47.2__NODE_5_length_278372_cov_6.33872__32277__terpene__ANTISMASH__246095_278372	"Akkermansia muciniphila strain GP35 scaf-1, whole genome shotgun sequence"	NZ_PJLA01000001	99.213	99	N/A	N/A	Verrucomicrobia	Akkermansia muciniphila
O2.UC47.2__NODE_422_length_37726_cov_2.03738__21205__sactipeptide__ANTISMASH__0_21205	"Eisenbergiella tayi strain DSM 26961 scaffold2, whole genome shotgun sequence"	NZ_MPDJ01000002	99.98	100	Eisenbergiella tayi	Firmicutes		
O2.UC47.2__NODE_1624_length_14315_cov_1.78065__14315__nrps__ANTISMASH__0_14315	"Eisenbergiella tayi strain DSM 26961 scaffold5, whole genome shotgun sequence"	NZ_MPDJ01000005	99.581	100	Eisenbergiella tayi	Firmicutes		
O2.UC47.2__NODE_1745_length_13495_cov_1.92522__13495__lantipeptide__ANTISMASH__0_13495	"Eisenbergiella tayi strain NML 120489 BEH84_contig000004, whole genome shotgun sequence"	NZ_MCGI01000004	99.957	99	Eisenbergiella tayi	Firmicutes		
O2.UC48.0__NODE_452_length_52635_cov_2.66679__48690__nrps__ANTISMASH__0_48690	"Dorea longicatena strain 2789STDY5608851, whole genome shotgun sequence"	NZ_CYYM01000002	99.143	51	Dorea longicatena	Firmicutes		
O2.UC49.2__NODE_1730_length_13268_cov_1.6732__13268__lantipeptide__ANTISMASH__0_13268	"Eisenbergiella tayi strain DSM 26961 scaffold5, whole genome shotgun sequence"	NZ_MPDJ01000005	99.58	53	Eisenbergiella tayi	Firmicutes		
