Sample	CSM5FZ3N	CSM5FZ3R	CSM5FZ3T	CSM5FZ3V	CSM5FZ3X	CSM5FZ3Z	CSM5FZ42	CSM5FZ44	CSM5FZ46	CSM5FZ4C	CSM5LLGB	CSM5MCU4	CSM5MCV1	CSM5MCV5	CSM5MCVB	CSM5MCVD	CSM5MCVF	CSM5MCVJ	CSM5MCVV	CSM5MCVZ	CSM5MCW4	CSM5MCWA	CSM5MCWI	CSM5MCWK	CSM5MCXF	CSM5MCXX	CSM5MCXZ	CSM5YRY7	CSM67U9V	CSM67U9X	CSM67UAI	CSM67UB5	CSM67UB7	CSM67UB9	CSM67UCU	CSM6J2H9	CSM79HG7	CSM79HGR	CSM79HGV	CSM79HH2	CSM79HHW	CSM79HJ2	CSM79HJ4	CSM79HJ6	CSM79HJ8	CSM79HJC	CSM79HJI	CSM79HNY	CSM7CZ2F	CSM7KOKH	CSM7KOKL	CSM7KOKP	CSM7KOQP	CSM7KOQZ	CSM7KOR4	CSM7KOR8	ESM5GEYU	ESM5GEYW	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEB9	ESM5MEBA	ESM5MEBP	ESM5MEDP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM718U9	ESM7F5AE	HSM5FZBP	HSM5FZBQ	HSM5FZBR	HSM5FZC2	HSM5MD3L	HSM5MD49	HSM5MD4A	HSM5MD4B	HSM5MD4P	HSM5MD4U	HSM5MD4W	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5H	HSM5MD5K	HSM5MD5X	HSM5MD5Z	HSM5MD6E	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD7W	HSM5MD7Z	HSM5MD82	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8F	HSM5MD8H	HSM5MD8J	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM5MEE5	HSM67VCX	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM67VIJ	HSM6XRQB	HSM6XRQC	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYWS	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ2J	HSM7CZ2L	HSM7CZ2V	HSM7J4JW	HSM7J4Q3	HSMA33J1	HSMA33NG	MSM5FZ9N	MSM5FZ9Q	MSM5FZ9V	MSM5FZ9X	MSM5FZA2	MSM5LLD6	MSM5LLE3	MSM5LLE9	MSM5LLF2	MSM5LLFG	MSM5LLGD	MSM5LLGF	MSM5LLGH	MSM5LLGJ	MSM5LLGN	MSM5LLGR	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHG	MSM5LLHI	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHX	MSM5LLI2	MSM5LLI4	MSM5LLI6	MSM5LLI8	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLII	MSM5LLIK	MSM5LLIM	MSM5LLIS	MSM5ZOJY	MSM633FF	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2PQ	MSM6J2RG	MSM79H52	MSM79H8J	MSM79H94	MSM79HBX	MSM79HCN	MSM9VZFJ	MSM9VZJJ	MSM9VZLX	MSM9VZM4	MSM9VZMQ	PSM6XBQM	PSM6XBRK	PSM6XBRM	PSM6XBS2	PSM6XBS4	PSM6XBSC	PSM6XBTF	PSM6XBTH	PSM6XBTJ	PSM6XBTN	PSM6XBTZ	PSM6XBVY	PSM7J13U	PSM7J13Y	PSM7J143	PSM7J149	PSM7J19X	PSM7J1B3	PSM7J1BN	PSM7J1CK	PSM7J1CS	PSMA2651
C4013__NODE_57_length_60955_cov_91.708__55761__nrps__ANTISMASH__517_56278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.615579235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.136784993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763782846	0	0	0	0	0	0	1.263186616	0.536634899	0.919800919	0	0	0	0	0	0	0	1.11556959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.058269232	1.565714956	2.537596696	0	0	0	0	0	0	0	0	0	0	22.50317061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.833893083	0	0	0.437438222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.125665286
C4010__NODE_13_length_213961_cov_42.347891__47539__arylpolyene__ANTISMASH__35987_83526	37.18742532	44.13601232	45.23699182	24.07197195	47.98380329	31.40060403	46.98618648	41.59238424	42.36836494	11.04245903	42.18207243	100.3597933	65.98571936	36.98355735	111.3492524	52.30880225	23.03028439	39.78874578	59.39056011	122.5643527	88.49458839	4.565775302	30.62425468	25.93212202	27.96768029	20.27400028	4.30188903	24.23689033	11.15800468	47.09321988	0	18.37133026	21.53407157	32.55858379	22.8670745	21.02580068	15.23005889	7.883421803	9.769130687	6.032520031	52.81022718	40.31231495	33.12405284	8.317497611	20.82111937	40.05234006	5.467602549	24.81222365	12.90769351	32.87359818	24.15054076	30.16192794	0	26.37053574	25.88486193	21.79029714	30.94449049	9.309901763	9.579206597	15.35833872	21.75670681	21.77189304	40.71847817	28.27839619	48.24869756	17.33681803	37.58597509	17.19326267	22.89733759	25.65972929	44.28177032	35.44073307	2.436169321	11.91737633	6.162992291	10.06708322	19.18032416	21.39468188	11.15555101	0	0	0	38.15453894	0	0	21.34317292	12.41500042	8.241754576	10.92658019	5.160640196	6.626804472	2.860436627	21.76179705	20.68404308	0	0	0	9.284490921	8.815288696	11.44971387	6.44328376	32.09853407	10.6767102	15.90911683	3.449696413	2.512856065	21.30131377	0	3.936486754	2.016885484	9.605119025	8.698258917	55.53736789	0	25.1581571	18.4602631	22.83784212	13.30540499	4.79740486	8.60485028	15.17743025	7.610264442	6.43528704	4.488185056	3.768288872	5.278012579	15.78983321	21.34660073	18.42100792	15.86218016	6.669152221	10.43508272	2.746942418	6.041554594	3.081228433	25.9350205	8.21276342	2.483301049	13.13040818	12.65791281	8.369153681	29.28333376	7.395641319	38.59622971	21.45116203	26.4035577	0	1.233968496	0	0	0	4.319246366	0	0	2.815320907	9.848513291	36.24794753	42.59586664	57.98735975	35.50071393	15.96151419	9.22425395	0	3.769195555	2.966082795	4.352111194	17.32958449	13.77009457	12.76786611	0	31.15861832	0	0	0	0	0	6.793724025	20.19168018	31.39148042	36.36298206	41.50236995	36.31386521	2.054542005	0	0	15.1319465	1.869976822	5.31888326	1.931004929	26.00144643	1.826644416	13.05040793	21.09132921	7.183823335	69.63752582	26.18892921	23.93418716	20.49374759	0	20.66987649	23.22700941	19.19093701	16.75552721	21.79398717	16.50349479	14.37212994	28.50324577	16.53415041	0	9.260888076	14.05041595	10.88090065	31.48103153	13.58645958	36.58368124	0	0	7.216364487	0	20.89035032	24.32317032	27.25596442
C4009__NODE_9_length_212624_cov_93.5405__41071__resorcinol__ANTISMASH__90407_131478	0	0	0	1.058206954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847213896	0	0	0	0	0	0	0	0	0	0	0	0	0	8.935138484	2.420194041	0	0.470455908	1.999988174	0	0	0	0	0	1.071611204	0.921108002	0	0	0	6.101395287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941285401	0	0	0	0	5.328871715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.844669769	0	0	0	0	12.21092614	1.000495004	2.353570123	0	0	1.027768614	0	3.791620218	3.009768592	0	0	0	2.46511347	22.59919655	0.506556158	0	0	23.09890445	68.53305748	0	0	0	0	16.64156252	0.415018886	0	0	0	0	0	0	0	0	0	5.188655028	6.387351358	8.830682018	4.985339359	1.453394199	4.838788672	1.595243976	1.252823789	0	0	9.645178783	67.18705091	0	0	0	0	0.660352478	0	0	0	0	0	0	0	0	0	0	0	0	0	1.205838154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.32116614	0	0	1.293743856	0	0	0.343288287	0	0	0	0	6.354254178	2.557455583	69.27314944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.506686705	0	0	0	0
C4009__NODE_644_length_42297_cov_100.7__42297__nrps__ANTISMASH__0_42297	0	0	0	0	0	0	0	0	0	0	0	1.853472089	0	0	0	0.474100117	0	0	0	1.154952047	1.738625878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.024086378	0	0	0	0.447372418	0	0	0	0	0	0	0.608973691	0	0	0	0	0	0	0	0	0	0	3.775904755	0	0	0	0	2.952078639	0	0	0	0	0	0	0	2.533558763	3.230639186	0	0	0	0	0	0	7.844307052	2.562850277	0.968458324	0	8.016015829	0	0	0	0	2.733042547	1.931982905	0	0	0	2.848206593	0	0	1.893593213	2.115299348	0	2.768943103	1.921613202	0	2.310156213	14.88001119	0	5.501464515	0	0	3.585173895	0	5.642672494	3.396901374	3.493191201	0	0	0	0	1.371076158	0	0	0	6.651786131	4.73615503	0	0	1.060358496	0	0	0	0	0	0	8.106541667	9.664760966	6.23128068	8.085051934	1.290482733	0	0	3.471447899	0	0	0	2.851104289	5.093168062	0	0	0	0	0	7.859666323	2.823877774	0	0	0	0	0.798461859	0	0	0	0	0.407992603	0.685174051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.005177472	0	4.584721992	0	0.663198646	0	6.517688236	0	0	2.30013065	0	0	0	0	0	0.995719513	0	0	4.448968593	2.475946019	2.410315256	0	1.733447053	7.228786757	1.573491331	1.793094126	1.612602982	0	1.86504803	0	0	0	2.970694464	0	0	0	0	0	1.967153242	2.565354282	3.370937808
C4009__NODE_43_length_148339_cov_30.0278__52608__nrps__ANTISMASH__41708_94316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332622803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344921217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790208537	0	0	0	0	0	0.786627096	0	0	0	0	0	1.803061553	0	0	2.858023605	0.560000532	0	0	0	0	0.528880229	0.370168087	0	0	0.504146129	0	0	0	3.411358836	1.214550473	0.428786229	0	4.910938133	0	0	0	0.874222772	2.753958751	0	0	0	0	0.777954472	0.607187457	0	0.827303594	1.08250776	0	0	0	0	0	0.453779431	0	0	0	0	2.654379936	0	5.152460168	0.899184879	0	0	0	1.872480068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350116195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.534210769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4009__NODE_2902_length_11440_cov_6.60791__11440__nrps__ANTISMASH__0_11440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.654828677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.156733196	1.139063041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4009__NODE_254_length_72470_cov_137.244__29376__lantipeptide__ANTISMASH__43094_72470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.365185401	0	3.254794663	2.496149744	0	0	0	5.605333734	3.568592575	3.821521708	0	0	0	1.115234624	0	0	0	0	4.178156589	7.336701756	0	0	0	0	0	0	0	0	0	7.530448224	2.226632606	3.569593138	0.65297218	0	0.60845123	0	1.068936477	0	0	0	0	0	0	0	0	0	0	0	0	1.290769991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.306172679	0	8.814485476	1.470491522	1.959755938	1.488115761	0.96021742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.577798506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4009__NODE_2043_length_16906_cov_6.93122__16906__other__ANTISMASH__0_16906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817629566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.424772719	0.808292164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88612804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4009__NODE_1774_length_19076_cov_214.117__19076__nrps__ANTISMASH__0_19076	5.31249635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.298281056	4.734453634	0	1.027376312	0	0	0	1.914105736	0	0	0	0	0	2.102351981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.347139345	0	0	0	0	1.704509267	0	0	0	0	2.045940952	1201.368402	0	0	0	0	1.113059134	0	0	0	0	3.173956908	0	0	3.19497858	0	0	0	0	0	0	0	0	12.58748583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.840272569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.091870978	0	0	0	0	0	0	0	0	1.04274958	0	0	0	0	4.086435221	1012.116593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4009__NODE_1696_length_20007_cov_31.7757__20007__terpene__ANTISMASH__0_20007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285469107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.66264186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26127533	0.872870933	0	0	0	0	0	0	0	0	0	15.85276221	3.841950733	10.07343573	1.045909064	0	2.348507786	9.099928848	0	0	0	0	0	0	0	0	0	0	0	0.87835743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4009__NODE_1421_length_23390_cov_28.4798__23390__terpene__ANTISMASH__0_23390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.310354425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.18468361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.873874807	137.4726509	0	0	0	0	0	0	0	0	0	20.38517768	4.401552985	123.9068502	95.16065283	0	4.243441844	21.4860328	0	0	0	0	0	0	0	0	0	0	0	1.372239553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4007__NODE_248_length_34834_cov_5.19748__24881__nrps__ANTISMASH__9953_34834	24.20231911	0	0	0	0	0	0	0	0	0	0	14.01384668	0	0	0	12.03796639	0	0	0	9.034778885	14.74425398	0	0	0	0	0	0	0	0	0	6.019373473	0	0	0	0	103.6632593	0	0	0	3.061610445	4.26300603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.177993972	15.62922567	0	0	0	14.70360649	0	0	0	0	0	0	27.27599324	6.25155575	13.92320698	0	0	0	0	0	0	18.60771333	4.529149481	15.59812893	0	176.0785638	164.3794005	159.7371471	0	13.24409139	6.610770552	6.414112738	0	0	0	4.81764355	0	0	3.920290195	4.793032822	0	12.71109415	3.811985818	0	19.50566285	15.68234445	33.81157703	4.225316271	0	0	16.01585251	0	68.37170506	11.19319424	19.84108669	0	0	0	0	4.496778394	0	0	0	5.213922468	6.602735292	0	5.959004536	0	0	3.826530845	0	11.2090221	0	8.492140639	9.124284646	0	4.693080291	0	12.92855828	0	0	4.427005727	0	0	0	9.601609174	8.271414169	0	0	0	0	0	16.58720389	0	0	0	0	0	0	0	0	0	0	0	25.25365111	12.45728274	0	0	0	0	0	0	0	8.188909604	0	0	0	0	0	0	0	0	0	0	11.29101023	0	0	0	2.761000966	0	4.346299669	7.33575718	0	10.47026031	0	0	0	0	0	4.111745328	0	0	11.99884669	12.17760675	6.343967921	0	10.30164221	16.57926397	18.04133249	5.606925628	14.88917431	0	5.830644144	0	0	11.36493486	66.20034824	0	0	0	0	0	17.23621378	0	68.13860235
C4006__NODE_863_length_15465_cov_297.855__15465__transatpks__ANTISMASH__0_15465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.550412552	6.571426804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4006__NODE_801_length_16209_cov_5.18336__16209__transatpks__ANTISMASH__0_16209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.79831025	71.03569685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4006__NODE_715_length_17484_cov_5.35625__17484__otherks__ANTISMASH__0_17484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214.2968939	49.41770454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4006__NODE_68_length_99866_cov_18.8402__20921__terpene__ANTISMASH__8788_29709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289215159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.47985446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55481078	0.683117947	0	0	0	0	0	0	0	0	0	14.44204701	3.104302513	8.765218616	0.872915102	0	2.056050172	9.25077774	0	0	0	0	0	0	0	0	0	0	0	1.654513172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4006__NODE_67_length_100714_cov_12.268__43675__arylpolyene__ANTISMASH__21836_65511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.545581836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777464623	0	0	0	0	0	0	0	0	0	0	0	0	0	4.274328722	3.281564824	2.203062205	0	0	0	0	0	0	0	0	0	0	1.865348733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.011738148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.279413645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.388450611	1.454886403	2.055947991	2.034496948	0	0	0	0.714770998	0	0	0.662517253	0	0.704709292	0.341868093	0	0	0	0	0	0	2.047614934	0	0	0	0	0	0	0	0	0.491345526	0	0	0	0	0	0	0	0	0	3.332827503	1.261616933	0.89218584	2.194201705	1.781134543	1.106133537	1.028600867	0	1.262856715	0	0	4.484187576	2.168222358	0.931422141	0	0	29.69698195	0	5.153594319	0	0
C4006__NODE_538_length_21404_cov_124.473__21404__transatpks__ANTISMASH__0_21404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248.4588525	28.73506311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4006__NODE_23_length_187868_cov_38.747__12988__lantipeptide__ANTISMASH__174880_187868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506271821	0	0	0	2.903782692	0	1.68602282	0	0	0	0	2.540288221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.502091989	0	0	0	0	0	0	0	0	0	0	1.00093669	0	0	0	0	0	0	0	0	6.06721851	0	0	0	0	0	0	0	0	0	0	0	0	0.690687987	29.5136139	11.3206267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.617079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.497566777	0	0	0	0	0	0	0	0	0	0	0	0.540880759	0.380815206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.993090799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78742428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4006__NODE_15_length_222149_cov_19.3876__20894__terpene__ANTISMASH__77199_98093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320712934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.81613041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.600055438	0.859171607	0	0	0	0	0	0	0	0	0	14.49158966	3.612164669	9.795452864	1.084966714	0	2.218564709	8.590786484	0	0	0	0	0	0	0	0	0	0	0	1.14922936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
