BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum
C2068__NODE_47_length_28847_cov_5.72114__13160__terpene__ANTISMASH__15687_28847,2.79040682638,-,-,-,0.0200663723408364,N/A,N/A,Unassigned
C5002__NODE_91_length_99443_cov_281.607__41137__resorcinol__ANTISMASH__50072_91209,3.45343017117,Crohn's Disease,3.2347823915,0.00928388061212,0.00928388061211926,NZ_JNHJ01000029,Bacteroides vulgatus str. 3775 SR(B) 19,Bacteroidetes
C3010__NODE_134_length_65028_cov_21.6171__41221__arylpolyene__ANTISMASH__4414_45635,3.35636636025,-,-,-,0.0139498472851154,NZ_JH724085,Bacteroides cellulosilyticus CL02T12C19,Bacteroidetes
C4031__NODE_81_length_56480_cov_53.2511__26752__nrps__ANTISMASH__29728_56480,4.55453624638,-,-,-,0.533501478449826,NZ_JGDQ01000059,Bacteroides fragilis str. 3725 D9(v),Bacteroidetes
C6009__NODE_6348_length_5847_cov_2653.09__5847__nrps__ANTISMASH__0_5847,4.16984300341,Crohn's Disease,3.7877561776,0.00120196225066,0.00120196225065555,NZ_CYZN01000002,Blautia wexlerae,Firmicutes
C2021__NODE_6115_length_5625_cov_3.95655__5625__nrps__ANTISMASH__0_5625,2.74196760073,-,-,-,0.424158244127425,NZ_BAHW02000027,Clostridiales bacterium VE202-09,Firmicutes
C3007__NODE_1198_length_7764_cov_13.248__7764__arylpolyene__ANTISMASH__0_7764,5.17661289114,-,-,-,0.24176568478687,NZ_CZAN01000032,Bacteroides vulgatus,Bacteroidetes
C2082__NODE_6_length_179753_cov_31.8485__23923__resorcinol__ANTISMASH__0_23923,3.7839007269,-,-,-,0.759883206095874,NZ_JH724268,Bacteroides uniformis CL03T12C37,Bacteroidetes
C2010__NODE_597_length_37158_cov_15.9471__35991__nrps__ANTISMASH__1167_37158,3.44466318343,-,-,-,0.526280999491161,NZ_NICR01000016,Klebsiella pneumoniae,Proteobacteria
C5006__NODE_68_length_101550_cov_13.5281__9577__bacteriocin__ANTISMASH__91973_101550,3.53976024754,-,-,-,0.893013905406086,NZ_FLFE01000019,Klebsiella pneumoniae,Proteobacteria
C2021__NODE_1055_length_26174_cov_5.46189__26174__arylpolyene__ANTISMASH__0_26174,2.62130229095,-,-,-,0.156620245258692,NZ_KE150480,Sutterella wadsworthensis HGA0223,Proteobacteria
C5004__NODE_86_length_103190_cov_15.651001__37048__other__ANTISMASH__0_37048,2.36940643944,-,-,-,0.758955567536863,N/A,N/A,Unassigned
C2028__NODE_1014_length_17670_cov_53.8611__17670__nrps__ANTISMASH__0_17670,4.13223344792,-,-,-,0.932899267077608,NZ_AKBX01000001,Bacteroides eggerthii 1_2_48FAA,Bacteroidetes
C2075__NODE_589_length_21506_cov_37.0536__10894__microcin__ANTISMASH__10612_21506,4.52818661455,-,-,-,0.74510639837456,NZ_CP023819,Faecalibacterium prausnitzii,Firmicutes
C2010__NODE_562_length_38752_cov_18.1891__38752__nrps__ANTISMASH__0_38752,2.1754386111,-,-,-,0.663462243283998,N/A,N/A,Unassigned
C4004__NODE_591_length_10305_cov_3.58927__10305__nrps__ANTISMASH__0_10305,4.10106623849,Crohn's Disease,3.72554793292,0.000602673003164,0.000602673003163602,NZ_JH376871,Clostridium clostridioforme 2_1_49FAA,Firmicutes
C6016__NODE_278_length_31570_cov_14.6146__19715__terpene__ANTISMASH__11855_31570,2.97323850513,-,-,-,0.532537373017504,NZ_KQ971081,Akkermansia sp. KLE1798,Verrucomicrobia
C3017__NODE_742_length_38583_cov_142.623__25546__nrps__ANTISMASH__13037_38583,3.54795367795,Crohn's Disease,3.23097116211,0.000434129882325,0.000434129882325477,NZ_KB851045,Clostridium clostridioforme 90A7,Firmicutes
C2021__NODE_6825_length_5027_cov_3.64119__5027__arylpolyene__ANTISMASH__0_5027,4.3912272175,-,-,-,0.145858924053365,NZ_CYYQ01000001,Alistipes finegoldii,Bacteroidetes
C3005__NODE_1097_length_23837_cov_6.573207__17729__bacteriocin__ANTISMASH__6108_23837,1.89596901107,-,-,-,0.017775083381254,NZ_KI914463,Pseudomonas aeruginosa BWHPSA047,Proteobacteria
C2047__NODE_57_length_29380_cov_211.37__21761__terpene__ANTISMASH__7619_29380,3.20731909595,-,-,-,0.938630884028952,N/A,N/A,Unassigned
C3001__NODE_58_length_130452_cov_22.8823__21353__sactipeptide__ANTISMASH__15013_36366,2.40553085967,-,-,-,0.0180429445516758,NZ_CP022413,Blautia hansenii DSM 20583,Firmicutes
C2077__NODE_79_length_71139_cov_118.105__40122__arylpolyene__ANTISMASH__0_40122,1.21172927391,-,-,-,0.463071015015418,N/A,N/A,Unassigned
C3006__NODE_180_length_74936_cov_20.389485__43886__nrps__ANTISMASH__31050_74936,4.48194069751,-,-,-,0.99917699087395,NZ_CZAJ01000007,Eubacterium rectale,Firmicutes
C2008__NODE_3437_length_6943_cov_3.34538__6943__arylpolyene__ANTISMASH__0_6943,3.28072686779,-,-,-,0.669854753358351,NZ_CVTY01000007,Dakarella massiliensis,Proteobacteria
C4009__NODE_254_length_72470_cov_137.244__29376__lantipeptide__ANTISMASH__43094_72470,2.49674922013,-,-,-,0.393758638998902,NZ_CZAW01000034,Blautia wexlerae,Firmicutes
C6017__NODE_570_length_14112_cov_8.69396__14112__bacteriocin__ANTISMASH__0_14112,4.60910135013,-,-,-,0.547820963085125,NZ_QLTS01000002,Phascolarctobacterium faecium DSM 14760,Firmicutes
C3032__NODE_203_length_34879_cov_20.892689__31256__resorcinol__ANTISMASH__3623_34879,3.86510636838,Ulcerative colitis,3.56105007666,6.1983886747e-11,6.19838867469903e-11,NZ_PHJG01000017,Bacteroides vulgatus,Bacteroidetes
C2048__NODE_534_length_18686_cov_5.68939__10510__bacteriocin__ANTISMASH__8176_18686,2.14998493845,-,-,-,0.332326043812619,N/A,N/A,Unassigned
C6018__NODE_47_length_33281_cov_11.1139__33281__nrps__ANTISMASH__0_33281,2.02952751607,-,-,-,0.201849698594433,NZ_KB851162,Clostridium bolteae 90B7,Firmicutes
C6018__NODE_437_length_8123_cov_7.93344__8123__bacteriocin__ANTISMASH__0_8123,2.80780612329,-,-,-,0.298378091818366,N/A,N/A,Unassigned
C3017__NODE_4652_length_9203_cov_427.059__9203__resorcinol__ANTISMASH__0_9203,3.92009108644,-,-,-,0.161512824476828,NZ_CZAF01000014,Bacteroides uniformis,Bacteroidetes
C3022__NODE_267_length_46716_cov_15.9603__30281__lantipeptide__ANTISMASH__16435_46716,3.33662680204,-,-,-,0.998847541501286,N/A,N/A,Unassigned
C3004__NODE_325_length_55475_cov_8.770047__35820__nrps__ANTISMASH__19655_55475,1.9201994832,-,-,-,0.409030222335583,NZ_JNJP01000001,Bilophila wadsworthia ATCC 49260,Proteobacteria
C2021__NODE_3751_length_8991_cov_5.78469__8991__nrps__ANTISMASH__0_8991,4.18367882936,Ulcerative colitis,3.8041596642,0.00198206348136,0.00198206348136404,NZ_CZBA01000002,Blautia obeum,Firmicutes
C4006__NODE_68_length_99866_cov_18.8402__20921__terpene__ANTISMASH__8788_29709,1.87053373419,-,-,-,0.831532867583337,NZ_PJKF01000008,Akkermansia muciniphila,Verrucomicrobia
C2028__NODE_2_length_468845_cov_28.9611__48061__arylpolyene__ANTISMASH__222540_270601,3.00057656062,-,-,-,0.316844019512544,NZ_AENZ01000003,Alistipes sp. HGB5,Bacteroidetes
C5002__NODE_325_length_42949_cov_9.85723__22529__bacteriocin__ANTISMASH__20420_42949,1.57292811755,-,-,-,0.139720652539531,N/A,N/A,Unassigned
C3005__NODE_476_length_38562_cov_6.443789__27131__nrps__ANTISMASH__0_27131,1.7982602190800001,-,-,-,0.017775083381254,NZ_NRAJ01000006,Pseudomonas aeruginosa,Proteobacteria
C6016__NODE_782_length_10600_cov_27.5503__10600__terpene__ANTISMASH__0_10600,3.56126893062,-,-,-,0.819262028171562,NZ_KV441790,Akkermansia sp. KLE1605,Verrucomicrobia
C2025__NODE_1896_length_17292_cov_10.2337__17292__arylpolyene__ANTISMASH__0_17292,2.4289776405,-,-,-,0.959606968053096,N/A,N/A,Unassigned
C2014__NODE_548_length_50682_cov_45.8883__22967__lantipeptide__ANTISMASH__1328_24295,2.92447174189,-,-,-,0.011658388744288,NZ_BAIJ02000157,Clostridiales bacterium VE202-27,Firmicutes
C2014__NODE_728_length_41188_cov_81.7236__10282__bacteriocin__ANTISMASH__7720_18002,3.1083183762,-,-,-,0.0895941662823141,N/A,N/A,Unassigned
C3017__NODE_7099_length_6050_cov_963.044__6050__lantipeptide__ANTISMASH__0_6050,4.10234786423,-,-,-,0.0787831864953775,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes
C2048__NODE_1179_length_11772_cov_6.09627__11772__arylpolyene__ANTISMASH__0_11772,0,-,-,-,-,N/A,N/A,Unassigned
C3003__NODE_403_length_40637_cov_11.867306__17254__bacteriocin__ANTISMASH__23383_40637,2.75828427066,-,-,-,0.78056075722513,NZ_QLTS01000002,Phascolarctobacterium faecium DSM 14760,Firmicutes
C4023__NODE_31_length_61144_cov_22.4134__32224__resorcinol__ANTISMASH__28920_61144,3.80335807739,Ulcerative colitis,3.46235739519,1.10375906464e-07,1.10375906463664e-07,NZ_CP013020,Bacteroides vulgatus,Bacteroidetes
C2069__NODE_397_length_22681_cov_34.124812__11505__butyrolactone__ANTISMASH__11176_22681,2.83619570329,-,-,-,0.0534489402707813,NZ_AYMI01000002,Klebsiella michiganensis H1g,Proteobacteria
C2079__NODE_108_length_42238_cov_7.07581__27433__arylpolyene__ANTISMASH__14805_42238,2.27832421092,-,-,-,0.660307199812653,N/A,N/A,Unassigned
C4009__NODE_9_length_212624_cov_93.5405__41071__resorcinol__ANTISMASH__90407_131478,3.85481007039,Ulcerative colitis,3.52340288681,5.59791353187e-11,5.59791353187445e-11,NZ_CZBK01000007,Bacteroides vulgatus,Bacteroidetes
C3001__NODE_175_length_75385_cov_116.783__11053__bacteriocin__ANTISMASH__27992_39045,2.38750911752,Crohn's Disease,2.68661171808,0.00650507845039,0.0065050784503931,N/A,N/A,Unassigned
C2010__NODE_33_length_145162_cov_71.7332__43588__arylpolyene__ANTISMASH__21297_64885,3.5533424021,-,-,-,0.880935620824596,NZ_NGRY01000001,Escherichia coli,Proteobacteria
C2091__NODE_40_length_48506_cov_8.947493__22399__nrps__ANTISMASH__26107_48506,2.4427276687,-,-,-,0.0988265023471359,N/A,N/A,Unassigned
C5002__NODE_1740_length_9491_cov_3.73103__9491__bacteriocin__ANTISMASH__0_9491,2.69866683388,-,-,-,0.298378091818366,N/A,N/A,Unassigned
C3001__NODE_11_length_238416_cov_66.0901__43464__arylpolyene__ANTISMASH__120892_164356,2.8308437474,-,-,-,0.0129404650692429,N/A,N/A,Unassigned
C3031__NODE_121_length_20525_cov_61.8349__20525__resorcinol__ANTISMASH__0_20525,3.53311352172,-,-,-,0.243570552049709,N/A,N/A,Unassigned
C4028__NODE_1107_length_6770_cov_849.186__6770__resorcinol__ANTISMASH__0_6770,3.97676311232,-,-,-,0.943472947900708,N/A,N/A,Unassigned
C4027__NODE_961_length_7458_cov_21.741186__7458__resorcinol__ANTISMASH__0_7458,4.46975308574,-,-,-,0.458304097215141,NZ_GG774972,Parabacteroides sp. 20_3,Bacteroidetes
C4001__NODE_1272_length_8188_cov_29.7058__8188__bacteriocin__ANTISMASH__0_8188,3.39523345283,-,-,-,0.139720652539531,NZ_NNWG01000042,Escherichia coli,Proteobacteria
C3002__NODE_971_length_15098_cov_86.9144__15098__arylpolyene__ANTISMASH__0_15098,2.95138128264,-,-,-,0.0492977120463229,N/A,N/A,Unassigned
C2010__NODE_3541_length_8103_cov_5.16252__8103__nrps__ANTISMASH__0_8103,1.93717737371,-,-,-,0.339981056202636,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes
C2028__NODE_249_length_51109_cov_32.4172__41143__resorcinol__ANTISMASH__3413_44556,3.22639982188,-,-,-,0.663674229294311,NZ_JH724268,Bacteroides uniformis CL03T12C37,Bacteroidetes
C4004__NODE_1175_length_6704_cov_563.473__6704__lantipeptide__ANTISMASH__0_6704,3.73912043637,-,-,-,0.201849698594433,N/A,N/A,Unassigned
C2075__NODE_793_length_16630_cov_377.864__16630__other__ANTISMASH__0_16630,3.96434783597,Ulcerative colitis,3.54776310798,0.000750059625002,0.000750059625001969,NZ_HF545617,Ruminococcus bicirculans,Firmicutes
C3008__NODE_58_length_80320_cov_9.89467__38512__nrps__ANTISMASH__41808_80320,3.19938456823,Crohn's Disease,2.95694532745,0.00032375677585,0.000323756775850068,NZ_KB851045,Clostridium clostridioforme 90A7,Firmicutes
C3001__NODE_3868_length_6733_cov_1390.55__6733__arylpolyene__ANTISMASH__0_6733,3.78902202958,-,-,-,0.0980029209086725,N/A,N/A,Unassigned
C4006__NODE_67_length_100714_cov_12.268__43675__arylpolyene__ANTISMASH__21836_65511,2.99674253704,-,-,-,0.221026382236814,NZ_KQ968580,Sutterella sp. KLE1602,Proteobacteria
C2014__NODE_22_length_247082_cov_60.9883__48302__arylpolyene__ANTISMASH__192556_240858,3.3642145266,-,-,-,0.0980029209086725,NZ_ALJQ01000038,Prevotella sp. MSX73,Bacteroidetes
C2060__NODE_21_length_104722_cov_19.3019__47332__nrps__ANTISMASH__8019_55351,2.18169175262,-,-,-,0.258316650385195,NZ_OLKO01000022,Ruminococcus bromii L2-63,Firmicutes
C3017__NODE_105_length_92488_cov_13.3445__39059__lantipeptide__ANTISMASH__9065_48124,3.03424524357,-,-,-,0.129205613737373,NZ_DS499516,Eubacterium siraeum DSM 15702,Firmicutes
C6014__NODE_1181_length_6258_cov_219.325__6258__ladderane__ANTISMASH__0_6258,4.67027109224,Crohn's Disease,4.01954804707,0.00104150130738,0.00104150130737832,NZ_JNHJ01000029,Bacteroides vulgatus str. 3775 SR(B) 19,Bacteroidetes
C2010__NODE_694_length_33476_cov_21.6485__32936__nrps__ANTISMASH__540_33476,3.25388724481,-,-,-,0.663462243283998,NZ_BAIJ02000004,Clostridiales bacterium VE202-27,Firmicutes
C3004__NODE_688_length_33192_cov_12.147811__33192__nrps__ANTISMASH__0_33192,3.79794279341,Ulcerative colitis,3.56859249114,0.00212022430358,0.00212022430358287,NZ_OEPZ01000003,Dorea sp. Marseille-P4003,Firmicutes
C3017__NODE_5863_length_7349_cov_16.1525__7349__lantipeptide__ANTISMASH__0_7349,3.72165240934,-,-,-,0.0466155776586458,NZ_FNWC01000007,Tyzzerella sp. Marseille-P3062,Firmicutes
C3006__NODE_160_length_79315_cov_31.125259__41194__arylpolyene__ANTISMASH__8041_49235,2.75301043076,-,-,-,0.202647471902786,NZ_JH376616,Paraprevotella clara YIT 11840,Bacteroidetes
C2025__NODE_1644_length_19312_cov_195.617__19312__nrps__ANTISMASH__0_19312,3.64664865792,-,-,-,0.951537474848377,N/A,N/A,Unassigned
C2086__NODE_47_length_65792_cov_66.6491__16770__microcin__ANTISMASH__49022_65792,4.23933401129,Crohn's Disease,3.73225694343,0.00914156828131,0.00914156828130708,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes
C2025__NODE_1647_length_19286_cov_13.6739__19286__nrps__ANTISMASH__0_19286,2.94191339396,-,-,-,0.660307199812653,N/A,N/A,Unassigned
C3011__NODE_4606_length_8411_cov_8.428674__8411__lantipeptide__ANTISMASH__0_8411,4.02773886585,-,-,-,0.103811947189617,N/A,N/A,Unassigned
C3005__NODE_5962_length_5543_cov_3.694606__5543__nrps__ANTISMASH__0_5543,1.75357577619,-,-,-,0.0534489402707813,NZ_LOQZ01000149,Pseudomonas aeruginosa,Proteobacteria
C2014__NODE_335_length_70183_cov_9.3029__30209__arylpolyene__ANTISMASH__39974_70183,3.34071401166,-,-,-,0.0693171184762501,N/A,N/A,Unassigned
C3003__NODE_3_length_251615_cov_18.016362__21719__terpene__ANTISMASH__51920_73639,3.16288363936,-,-,-,0.0853563965677608,NZ_JH976489,Parabacteroides distasonis CL09T03C24,Bacteroidetes
C5002__NODE_118_length_86686_cov_12.5945__54403__arylpolyene__ANTISMASH__32283_86686,2.42080123375,-,-,-,0.183638950544855,NZ_QNRV01000001,Sutterella wadsworthensis,Proteobacteria
C2014__NODE_1940_length_19065_cov_6.85302__19065__nrps__ANTISMASH__0_19065,4.05241767808,-,-,-,0.0930269783555585,NZ_DS990260,Clostridiales bacterium 1_7_47FAA,Firmicutes
C2008__NODE_2631_length_9349_cov_5.18991__9349__bacteriocin__ANTISMASH__0_9349,3.03812654528,-,-,-,0.252833411494831,NZ_MZZR01000146,Klebsiella pneumoniae,Proteobacteria
C6028__NODE_585_length_11015_cov_277.86__11015__nrps-t1pks__ANTISMASH__0_11015,3.98718117861,-,-,-,0.248194011607243,NZ_FLFJ01000006,Klebsiella pneumoniae,Proteobacteria
C3004__NODE_83_length_109672_cov_60.853910__41215__arylpolyene__ANTISMASH__64607_105822,3.19771738745,-,-,-,0.246381022279554,NZ_PJLL01000001,Akkermansia muciniphila,Verrucomicrobia
C6009__NODE_323_length_55106_cov_110.639__52250__nrps__ANTISMASH__0_52250,2.75497918403,-,-,-,0.0443864869822224,NZ_FMMH01000009,Clostridioides difficile,Firmicutes
C3005__NODE_1266_length_21891_cov_7.058894__19933__phenazine__ANTISMASH__1958_21891,2.89756645581,-,-,-,0.017775083381254,NZ_LT673656,Pseudomonas aeruginosa,Proteobacteria
C3006__NODE_250_length_64124_cov_36.227614__37074__arylpolyene__ANTISMASH__27050_64124,3.00454446736,Ulcerative colitis,2.90733617028,0.00212022430358,0.00212022430358287,NZ_DS990119,Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2),Bacteroidetes
C4028__NODE_64_length_51856_cov_19.2296__25704__lassopeptide__ANTISMASH__26152_51856,2.12961939322,-,-,-,0.660307199812653,N/A,N/A,Unassigned
C2047__NODE_697_length_8403_cov_803.121__8403__nrps__ANTISMASH__0_8403,3.99681119283,Crohn's Disease,3.69060911746,0.00136959935061,0.00136959935061171,NZ_AUJF01000023,Blautia wexlerae AGR2146,Firmicutes
C3007__NODE_35_length_97942_cov_23.2796__52555__nrps-t1pks__ANTISMASH__0_52555,3.0825241184,-,-,-,0.178485445585419,NZ_JSHE01000021,Escherichia coli,Proteobacteria
C6018__NODE_608_length_6676_cov_6.59039__6676__bacteriocin__ANTISMASH__0_6676,2.9836278832,-,-,-,0.298378091818366,N/A,N/A,Unassigned
C4015__NODE_585_length_15840_cov_7.4394__15840__nrps__ANTISMASH__0_15840,3.435390482,-,-,-,0.298378091818366,N/A,N/A,Unassigned
C3005__NODE_3448_length_9647_cov_63.888344__9647__arylpolyene__ANTISMASH__0_9647,3.003729972,-,-,-,0.7353089744256,NZ_CVOY01000023,Bacteroides thetaiotaomicron,Bacteroidetes
C3017__NODE_6131_length_7013_cov_353.034__7013__lantipeptide__ANTISMASH__0_7013,3.74489370831,-,-,-,0.446461075453682,NZ_PSQG01000017,Blautia obeum,Firmicutes
C2072__NODE_1048_length_5295_cov_4.98779__5295__arylpolyene__ANTISMASH__0_5295,0,-,-,-,-,N/A,N/A,Unassigned
C3001__NODE_1791_length_12527_cov_5.30091__12527__bacteriocin__ANTISMASH__0_12527,3.24102903454,-,-,-,0.0980029209086725,N/A,N/A,Unassigned
C2021__NODE_1325_length_21948_cov_7.13127__21948__resorcinol__ANTISMASH__0_21948,3.24357313297,-,-,-,0.201849698594433,N/A,N/A,Unassigned
C6033__NODE_298_length_27811_cov_17.7013__27811__resorcinol__ANTISMASH__0_27811,2.55606415444,-,-,-,0.463071015015418,NZ_NFJG01000058,Bacteroides sp. An269,Bacteroidetes
C2021__NODE_123_length_96858_cov_22.2687__20849__terpene__ANTISMASH__5882_26731,1.96215212287,-,-,-,0.139720652539531,N/A,N/A,Unassigned
C2069__NODE_932_length_11142_cov_39.510147__11142__bacteriocin__ANTISMASH__0_11142,2.88835173746,-,-,-,0.0534489402707813,NZ_AYMI01000011,Klebsiella michiganensis H1g,Proteobacteria
C2086__NODE_94_length_46572_cov_7.95589__13897__siderophore__ANTISMASH__0_13897,4.21916745053,-,-,-,0.0411023952613829,NZ_UGBC01000003,Escherichia coli,Proteobacteria
C2014__NODE_33_length_227233_cov_11.2933__52367__nrps__ANTISMASH__796_53163,2.36209233391,-,-,-,0.0980029209086725,NZ_LT635451,Holdemania sp. Marseille-P2844,Firmicutes
C3002__NODE_1385_length_10045_cov_6.14925__10045__nrps__ANTISMASH__0_10045,1.29769410358,-,-,-,0.139720652539531,NZ_KQ235846,Clostridium bolteae WAL-14578,Firmicutes
C2048__NODE_3223_length_5845_cov_7.53869__5845__nrps__ANTISMASH__0_5845,0,-,-,-,-,N/A,N/A,Unassigned
C2021__NODE_603_length_39929_cov_6.67758__26797__nrps__ANTISMASH__0_26797,4.2471119703,-,-,-,0.872216600741189,N/A,N/A,Unassigned
C3022__NODE_20_length_144830_cov_158.126__41544__arylpolyene__ANTISMASH__103286_144830,2.65206110718,-,-,-,0.463071015015418,N/A,N/A,Unassigned
C2021__NODE_1690_length_18086_cov_8.96817__18086__lantipeptide__ANTISMASH__0_18086,2.22046333382,-,-,-,0.248194011607243,N/A,N/A,Unassigned
C2008__NODE_2262_length_11030_cov_88.1087__11030__nrps__ANTISMASH__0_11030,3.30891590409,-,-,-,0.0129404650692429,N/A,N/A,Unassigned
C2014__NODE_44_length_203043_cov_77.7576__10274__microcin__ANTISMASH__192769_203043,3.47018350682,Crohn's Disease,3.12212065557,0.00211555636587,0.00211555636587312,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes
C2075__NODE_158_length_54113_cov_11.7006__11041__bacteriocin__ANTISMASH__15475_26516,2.98802655489,-,-,-,0.691039417570886,NZ_NMTZ01000027,Faecalibacterium prausnitzii,Firmicutes
C2027__NODE_1840_length_8549_cov_5.05215__8549__bacteriocin__ANTISMASH__0_8549,2.26498184144,-,-,-,0.332326043812619,N/A,N/A,Unassigned
C4006__NODE_801_length_16209_cov_5.18336__16209__transatpks__ANTISMASH__0_16209,2.77951653607,-,-,-,0.298378091818366,N/A,N/A,Unassigned
C3001__NODE_3246_length_7841_cov_27.1989__7841__microcin__ANTISMASH__0_7841,3.05494579561,-,-,-,0.531956651213619,NZ_JH414703,Subdoligranulum sp. 4_3_54A2FAA,Firmicutes
C2010__NODE_334_length_55597_cov_71.0921__22916__lantipeptide__ANTISMASH__14004_36920,1.68430194817,-,-,-,0.663462243283998,NZ_KE992653,Clostridium sp. KLE 1755,Firmicutes
C3022__NODE_98_length_77865_cov_77.4191__47858__arylpolyene__ANTISMASH__19344_67202,3.3450867349,-,-,-,0.208516580342252,NZ_CZBZ01000004,Alistipes finegoldii,Bacteroidetes
C4007__NODE_248_length_34834_cov_5.19748__24881__nrps__ANTISMASH__9953_34834,3.98248815313,-,-,-,0.732099068380583,NZ_BAHW02000027,Clostridiales bacterium VE202-09,Firmicutes
C2014__NODE_4_length_346364_cov_31.9905__23354__lantipeptide__ANTISMASH__236530_259884,2.34090494946,-,-,-,0.0980029209086725,N/A,N/A,Unassigned
C2091__NODE_931_length_11151_cov_4.753965__11151__bacteriocin__ANTISMASH__0_11151,2.99366212828,-,-,-,0.891789830890974,NZ_NMTZ01000027,Faecalibacterium prausnitzii,Firmicutes
C3007__NODE_4_length_464848_cov_28.127__53338__nrps__ANTISMASH__242117_295455,3.71874914819,-,-,-,0.891934973260589,NZ_NACM01000001,Escherichia coli,Proteobacteria
C2014__NODE_2216_length_16889_cov_9.24355__16889__nrps__ANTISMASH__0_16889,3.21954197444,Crohn's Disease,2.98505472426,0.00179820698966,0.00179820698966473,NZ_CZBP01000019,Blautia obeum,Firmicutes
C4022__NODE_181_length_31289_cov_28.8536__31289__resorcinol__ANTISMASH__0_31289,4.26978310566,-,-,-,0.213776506152494,NZ_CZAF01000014,Bacteroides uniformis,Bacteroidetes
C3006__NODE_1117_length_24788_cov_37.507904__24788__resorcinol__ANTISMASH__0_24788,2.77713562152,-,-,-,0.421648633770184,NZ_JH376593,Paraprevotella clara YIT 11840,Bacteroidetes
C2025__NODE_4803_length_7343_cov_3.9565__7343__other__ANTISMASH__0_7343,3.85720432213,-,-,-,0.594319867697034,N/A,N/A,Unassigned
C3003__NODE_76_length_95735_cov_25.874488__47508__arylpolyene__ANTISMASH__0_47508,2.7134178965,-,-,-,0.526430025314928,NZ_FOBY01000002,Bacteroides sp. AR20,Bacteroidetes
C3011__NODE_5387_length_7261_cov_6.278240__7261__nrps__ANTISMASH__0_7261,3.9218207892,-,-,-,0.172954917988916,N/A,N/A,Unassigned
