BGC_NAME,TAXA_NAME,ACC_ID,PERC_IDENT,COVERAGE,ORGANISM,PHYLUM,Manual_PHYLUM,Manual_ORGANISM
C2021__NODE_45_length_135900_cov_50.7099__47482__arylpolyene__ANTISMASH__15719_63201,"Bacteroides cellulosilyticus CL02T12C19 supercont1.1, whole genome shotgun sequence",NZ_JH724085,99.019,100,Bacteroides cellulosilyticus CL02T12C19,Bacteroidetes,,
C2021__NODE_1055_length_26174_cov_5.46189__26174__arylpolyene__ANTISMASH__0_26174,"Sutterella wadsworthensis HGA0223 acAqX-supercont1.1, whole genome shotgun sequence",NZ_KE150480,98.946,100,Sutterella wadsworthensis HGA0223,Proteobacteria,,
C2021__NODE_3751_length_8991_cov_5.78469__8991__nrps__ANTISMASH__0_8991,"Blautia obeum strain 2789STDY5834921, whole genome shotgun sequence",NZ_CZBA01000002,99.508,99,Blautia obeum,Firmicutes,,
C2021__NODE_6115_length_5625_cov_3.95655__5625__nrps__ANTISMASH__0_5625,"Clostridiales bacterium VE202-09, whole genome shotgun sequence",NZ_BAHW02000027,99.22,98,N/A,N/A,Firmicutes,Clostridiales bacterium VE202-09
C2021__NODE_6825_length_5027_cov_3.64119__5027__arylpolyene__ANTISMASH__0_5027,"Alistipes finegoldii strain 2789STDY5608890, whole genome shotgun sequence",NZ_CYYQ01000001,99.929,84,Alistipes finegoldii,Bacteroidetes,,
C2026__NODE_7_length_173572_cov_22.054473__41140__resorcinol__ANTISMASH__51067_92207,"Bacteroides timonensis isolate AP1, whole genome shotgun sequence",NZ_CBVI010000097,99.939,100,N/A,N/A,Bacteroidetes,Bacteroides timonensis
C2028__NODE_2_length_468845_cov_28.9611__48061__arylpolyene__ANTISMASH__222540_270601,"Alistipes sp. HGB5 contig00067, whole genome shotgun sequence",NZ_AENZ01000003,97.288,99,Alistipes sp. HGB5,Bacteroidetes,,
C2028__NODE_8_length_239300_cov_38.9172__41122__resorcinol__ANTISMASH__141784_182906,"Paraprevotella clara YIT 11840 Scfld20, whole genome shotgun sequence",NZ_JH376593,98.433,60,Paraprevotella clara YIT 11840,Bacteroidetes,,
C2028__NODE_249_length_51109_cov_32.4172__41143__resorcinol__ANTISMASH__3413_44556,"Bacteroides uniformis CL03T12C37 supercont1.1, whole genome shotgun sequence",NZ_JH724268,99.745,100,Bacteroides uniformis CL03T12C37,Bacteroidetes,,
C2028__NODE_1014_length_17670_cov_53.8611__17670__nrps__ANTISMASH__0_17670,"Bacteroides eggerthii 1_2_48FAA cont1.1, whole genome shotgun sequence",NZ_AKBX01000001,96.174,77,Bacteroides eggerthii 1_2_48FAA,Bacteroidetes,,
C2039__NODE_3100_length_5326_cov_4.61203__5326__t2pks__ANTISMASH__0_5326,"Blautia wexlerae DSM 19850 K316DRAFT_scaffold00027.27_C, whole genome shotgun sequence",NZ_AXVN01000027,99.943,98,N/A,N/A,Firmicutes,Blautia wexlerae DSM 19850
C2041__NODE_525_length_12891_cov_31.923__12891__resorcinol__ANTISMASH__0_12891,"Bacteroides vulgatus dnLKV7 acPFq-supercont1.7, whole genome shotgun sequence",NZ_KE159479,99.801,82,Bacteroides vulgatus dnLKV7,Bacteroidetes,,
C2047__NODE_697_length_8403_cov_803.121__8403__nrps__ANTISMASH__0_8403,"Blautia wexlerae AGR2146 G599DRAFT_scaffold00022.22_C, whole genome shotgun sequence",NZ_AUJF01000023,98.54,99,N/A,N/A,Firmicutes,Blautia wexlerae AGR2146
C2048__NODE_178_length_33075_cov_21.0369__33075__nrps__ANTISMASH__0_33075,"Clostridium sp. L2-50 Scfld_02_17, whole genome shotgun sequence",NZ_DS480328,93.831,93,Clostridium sp. L2-50,Firmicutes,,
C2060__NODE_21_length_104722_cov_19.3019__47332__nrps__ANTISMASH__8019_55351,"Ruminococcus bromii L2-63, whole genome shotgun sequence",NZ_OLKO01000022,98.379,99,N/A,N/A,Firmicutes,Ruminococcus bromii L2-63
C2060__NODE_21_length_104722_cov_19.3019__42199__ladderane__ANTISMASH__53743_95942,"Ruminococcus bromii L2-63, whole genome shotgun sequence",NZ_OLKO01000022,98.17,95,N/A,N/A,Firmicutes,Ruminococcus bromii L2-63
C2068__NODE_256_length_17003_cov_6.59181__17003__lantipeptide__ANTISMASH__0_17003,"Bifidobacterium pseudocatenulatum strain CA-K29a, whole genome shotgun sequence",NZ_BCYC01000013,97.845,67,Bifidobacterium pseudocatenulatum,Actinobacteria,,
C2069__NODE_60_length_75603_cov_20.486538__58637__nrps-t1pks__ANTISMASH__0_58637,"Klebsiella michiganensis strain AR375 chromosome, complete genome",NZ_CP029141,99.991,100,Klebsiella michiganensis,Proteobacteria,,
C2069__NODE_312_length_27545_cov_24.762641__27545__nrps__ANTISMASH__0_27545,"Klebsiella michiganensis strain AR375 chromosome, complete genome",NZ_CP029141,99.96,99,Klebsiella michiganensis,Proteobacteria,,
C2069__NODE_397_length_22681_cov_34.124812__11505__butyrolactone__ANTISMASH__11176_22681,"Klebsiella michiganensis H1g Contig2, whole genome shotgun sequence",NZ_AYMI01000002,99.983,100,N/A,N/A,Proteobacteria,Klebsiella michiganensis H1g
C2069__NODE_418_length_21659_cov_8.339335__21659__ladderane-arylpolyene__ANTISMASH__0_21659,"Escherichia coli strain MOD1-EC5549 MOD1-EC5549_19_length_85290_cov_69.9593, whole genome shotgun sequence",NZ_NLLW01000019,99.769,99,Escherichia coli,Proteobacteria,,
C2069__NODE_932_length_11142_cov_39.510147__11142__bacteriocin__ANTISMASH__0_11142,"Klebsiella michiganensis H1g Contig11, whole genome shotgun sequence",NZ_AYMI01000011,99.991,100,N/A,N/A,Proteobacteria,Klebsiella michiganensis H1g
C2071__NODE_53_length_69073_cov_64.636037__46165__nrps__ANTISMASH__1212_47377,"Bacteroides sp. 2_2_4 supercont1.2, whole genome shotgun sequence",NZ_EQ973356,99.86,67,Bacteroides sp. 2_2_4,Bacteroidetes,,
C2071__NODE_1381_length_6632_cov_7.343774__6632__resorcinol__ANTISMASH__0_6632,"Bacteroides vulgatus strain NLAE-zl-G202, whole genome shotgun sequence",NZ_FOBA01000017,99.954,99,Bacteroides vulgatus,Bacteroidetes,,
C2075__NODE_158_length_54113_cov_11.7006__11041__bacteriocin__ANTISMASH__15475_26516,"Faecalibacterium prausnitzii strain CNCM I 4644 NODE_2_length_434777_cov_28.2647_ID_1639, whole genome shotgun sequence",NZ_NMTZ01000027,96.863,98,Faecalibacterium prausnitzii,Firmicutes,,
C2075__NODE_589_length_21506_cov_37.0536__10894__microcin__ANTISMASH__10612_21506,"Faecalibacterium prausnitzii strain Indica chromosome, complete genome",NZ_CP023819,90.642,68,Faecalibacterium prausnitzii,Firmicutes,,
C2075__NODE_793_length_16630_cov_377.864__16630__other__ANTISMASH__0_16630,"Ruminococcus bicirculans chromosome II, complete genome",NZ_HF545617,98.498,99,Ruminococcus bicirculans,Firmicutes,,
C2082__NODE_6_length_179753_cov_31.8485__23923__resorcinol__ANTISMASH__0_23923,"Bacteroides uniformis CL03T12C37 supercont1.1, whole genome shotgun sequence",NZ_JH724268,99.988,61,Bacteroides uniformis CL03T12C37,Bacteroidetes,,
C2086__NODE_47_length_65792_cov_66.6491__16770__microcin__ANTISMASH__49022_65792,"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence",NZ_GG698602,97.586,85,Dialister invisus DSM 15470,Firmicutes,,
C2086__NODE_94_length_46572_cov_7.95589__13897__siderophore__ANTISMASH__0_13897,"Escherichia coli strain NCTC9007, whole genome shotgun sequence",NZ_UGBC01000003,99.647,99,N/A,N/A,Proteobacteria,Escherichia coli
C2091__NODE_213_length_25719_cov_11.030860__25719__nrps__ANTISMASH__0_25719,"Clostridium sp. L2-50 Scfld_02_17, whole genome shotgun sequence",NZ_DS480328,93.711,85,Clostridium sp. L2-50,Firmicutes,,
C2091__NODE_931_length_11151_cov_4.753965__11151__bacteriocin__ANTISMASH__0_11151,"Faecalibacterium prausnitzii strain CNCM I 4644 NODE_2_length_434777_cov_28.2647_ID_1639, whole genome shotgun sequence",NZ_NMTZ01000027,97.191,83,Faecalibacterium prausnitzii,Firmicutes,,
C3001__NODE_51_length_144308_cov_91.9148__42430__other__ANTISMASH__63954_106384,"Bacteroides fragilis strain 20656-2-1 contig00042, whole genome shotgun sequence",NZ_LIDU01000043,99.597,100,Bacteroides fragilis,Bacteroidetes,,
C3001__NODE_58_length_130452_cov_22.8823__21353__sactipeptide__ANTISMASH__15013_36366,"Blautia hansenii DSM 20583 chromosome, complete genome",NZ_CP022413,98.209,51,Blautia hansenii DSM 20583,Firmicutes,,
C3001__NODE_62_length_127340_cov_61.4927__20900__terpene__ANTISMASH__84566_105466,"Akkermansia muciniphila strain GP02 scaf-4, whole genome shotgun sequence",NZ_PJLL01000004,99.244,100,Akkermansia muciniphila,Verrucomicrobia,,
C3001__NODE_226_length_62364_cov_25.9983__11788__microcin__ANTISMASH__50576_62364,"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence",NZ_GG698602,99.105,85,Dialister invisus DSM 15470,Firmicutes,,
C3001__NODE_588_length_30405_cov_19.6306__29664__terpene__ANTISMASH__741_30405,"Akkermansia muciniphila strain GP23 scaf-1, whole genome shotgun sequence",NZ_PJLE01000001,99.539,88,Akkermansia muciniphila,Verrucomicrobia,,
C3001__NODE_3246_length_7841_cov_27.1989__7841__microcin__ANTISMASH__0_7841,"Subdoligranulum sp. 4_3_54A2FAA supercont1.6, whole genome shotgun sequence",NZ_JH414703,97.811,100,Subdoligranulum sp. 4_3_54A2FAA,Firmicutes,,
C3002__NODE_48_length_113070_cov_130.184__30150__lantipeptide__ANTISMASH__7675_37825,"Bacteroides fragilis str. 3783N1-6 gbf3783N16.contig.43, whole genome shotgun sequence",NZ_JGEU01000044,99.834,99,Bacteroides fragilis str. 3783N1-6,Bacteroidetes,,
C3002__NODE_335_length_41694_cov_806.476__24076__arylpolyene__ANTISMASH__17618_41694,"Bacteroides mediterraneensis strain Marseille-P2644, whole genome shotgun sequence",NZ_LT635783,96.414,51,N/A,N/A,Bacteroidetes,Bacteroides mediterraneensis
C3002__NODE_1385_length_10045_cov_6.14925__10045__nrps__ANTISMASH__0_10045,"Clostridium bolteae WAL-14578 supercont1.2, whole genome shotgun sequence",NZ_KQ235846,99.99,99,N/A,N/A,Firmicutes,Clostridium bolteae WAL-14578
C3003__NODE_3_length_251615_cov_18.016362__21719__terpene__ANTISMASH__51920_73639,"Parabacteroides distasonis CL09T03C24 supercont1.5, whole genome shotgun sequence",NZ_JH976489,99.521,100,Parabacteroides distasonis CL09T03C24,Bacteroidetes,,
C3003__NODE_76_length_95735_cov_25.874488__47508__arylpolyene__ANTISMASH__0_47508,"Bacteroides sp. AR20, whole genome shotgun sequence",NZ_FOBY01000002,99.002,99,Bacteroides sp. AR20,Bacteroidetes,,
C3003__NODE_403_length_40637_cov_11.867306__17254__bacteriocin__ANTISMASH__23383_40637,"Phascolarctobacterium faecium DSM 14760 Ga0215641_102, whole genome shotgun sequence",NZ_QLTS01000002,99.281,100,N/A,N/A,Firmicutes,Phascolarctobacterium faecium DSM 14760
C3004__NODE_83_length_109672_cov_60.853910__41215__arylpolyene__ANTISMASH__64607_105822,"Akkermansia muciniphila strain GP02 scaf-1, whole genome shotgun sequence",NZ_PJLL01000001,98.52,100,Akkermansia muciniphila,Verrucomicrobia,,
C3004__NODE_174_length_80204_cov_9.614056__42733__nrps__ANTISMASH__37471_80204,"Clostridium sp. AT4 strain AT5, whole genome shotgun sequence",NZ_LN999827,98.684,99,N/A,N/A,Firmicutes,Clostridium sp. AT4
C3004__NODE_325_length_55475_cov_8.770047__35820__nrps__ANTISMASH__19655_55475,"Bilophila wadsworthia ATCC 49260 T370DRAFT_scaffold00001.1_C, whole genome shotgun sequence",NZ_JNJP01000001,99.274,100,N/A,N/A,Proteobacteria,Bilophila wadsworthia ATCC 49260
C3004__NODE_688_length_33192_cov_12.147811__33192__nrps__ANTISMASH__0_33192,"Dorea sp. Marseille-P4003, whole genome shotgun sequence",NZ_OEPZ01000003,99.578,81,N/A,N/A,Firmicutes,Dorea sp. Marseille-P4003
C3004__NODE_716_length_32086_cov_56.184259__32086__nrps__ANTISMASH__0_32086,"Eubacterium hallii DSM 3353 E_hallii-1.0_Cont31.1, whole genome shotgun sequence",NZ_ACEP01000029,99.701,95,Eubacterium hallii DSM 3353,Firmicutes,,
C3005__NODE_476_length_38562_cov_6.443789__27131__nrps__ANTISMASH__0_27131,"Pseudomonas aeruginosa strain env158 NODE_6_length_296743_cov_12.6488, whole genome shotgun sequence",NZ_NRAJ01000006,99.627,83,Pseudomonas aeruginosa,Proteobacteria,,
C3005__NODE_1097_length_23837_cov_6.573207__17729__bacteriocin__ANTISMASH__6108_23837,"Pseudomonas aeruginosa BWHPSA047 adkfX-supercont1.1, whole genome shotgun sequence",NZ_KI914463,99.715,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa BWHPSA047
C3005__NODE_1166_length_22930_cov_8.545880__22930__hserlactone__ANTISMASH__0_22930,"Pseudomonas aeruginosa isolate 349, whole genome shotgun sequence",NZ_FRQY01000010,99.995,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa
C3005__NODE_1266_length_21891_cov_7.058894__19933__phenazine__ANTISMASH__1958_21891,"Pseudomonas aeruginosa isolate PcyII-10 genome assembly, chromosome: PcyII-10",NZ_LT673656,98.901,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa
C3005__NODE_1446_length_20102_cov_52.371277__20102__arylpolyene__ANTISMASH__0_20102,"Escherichia coli UMEA 3257-1 acYyt-supercont1.2, whole genome shotgun sequence",NZ_KE702211,99.99,100,N/A,N/A,Proteobacteria,Escherichia coli UMEA 3257-1
C3005__NODE_1588_length_18789_cov_5.949130__17884__hserlactone__ANTISMASH__905_18789,"Pseudomonas aeruginosa strain WH-SGI-V-07692 WH-SGI-V-07692_contig4, whole genome shotgun sequence",NZ_LLSM01000034,99.793,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa
C3005__NODE_1890_length_16574_cov_6.325020__12476__bacteriocin__ANTISMASH__4098_16574,"Pseudomonas aeruginosa strain AZPAE14918 AZPAE14918_contig_14, whole genome shotgun sequence",NZ_JTRX01000014,100,100,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa
C3005__NODE_2018_length_15722_cov_6.783813__15722__other__ANTISMASH__0_15722,"Pseudomonas aeruginosa strain KCRI-318 isolate R0008_318, whole genome shotgun sequence",NZ_OVCP01000021,99.712,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa
C3005__NODE_2886_length_11367_cov_5.384547__11367__other__ANTISMASH__0_11367,Pseudomonas aeruginosa c7447m genome,NC_022360,99.903,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa c7447m
C3005__NODE_3448_length_9647_cov_63.888344__9647__arylpolyene__ANTISMASH__0_9647,"Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence",NZ_CVOY01000023,99.103,77,N/A,N/A,Bacteroidetes,Bacteroides thetaiotaomicron
C3005__NODE_5962_length_5543_cov_3.694606__5543__nrps__ANTISMASH__0_5543,"Pseudomonas aeruginosa strain SMC4386 contig_149, whole genome shotgun sequence",NZ_LOQZ01000149,99.528,99,N/A,N/A,Proteobacteria,Pseudomonas aeruginosa
C3006__NODE_160_length_79315_cov_31.125259__41194__arylpolyene__ANTISMASH__8041_49235,"Paraprevotella clara YIT 11840 Scfld96, whole genome shotgun sequence",NZ_JH376616,99.017,100,Paraprevotella clara YIT 11840,Bacteroidetes,,
C3006__NODE_180_length_74936_cov_20.389485__43886__nrps__ANTISMASH__31050_74936,"Eubacterium rectale strain 2789STDY5834884, whole genome shotgun sequence",NZ_CZAJ01000007,98.633,95,Eubacterium rectale,Firmicutes,,
C3006__NODE_250_length_64124_cov_36.227614__37074__arylpolyene__ANTISMASH__27050_64124,"Bacteroides plebeius DSM 17135 Scfld_02_2, whole genome shotgun sequence",NZ_DS990119,97.885,88,Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2),Bacteroidetes,,
C3006__NODE_1117_length_24788_cov_37.507904__24788__resorcinol__ANTISMASH__0_24788,"Paraprevotella clara YIT 11840 Scfld20, whole genome shotgun sequence",NZ_JH376593,98.441,78,Paraprevotella clara YIT 11840,Bacteroidetes,,
C3007__NODE_4_length_464848_cov_28.127__53338__nrps__ANTISMASH__242117_295455,"Escherichia coli strain 25 25_NODE_1_length_1653815_cov_24.908979, whole genome shotgun sequence",NZ_NACM01000001,100,99,N/A,N/A,Proteobacteria,Escherichia coli
C3007__NODE_35_length_97942_cov_23.2796__52555__nrps-t1pks__ANTISMASH__0_52555,"Escherichia coli strain upec-59 upec-59_ctg_831, whole genome shotgun sequence",NZ_JSHE01000021,100,100,N/A,N/A,Proteobacteria,Escherichia coli
C3007__NODE_1198_length_7764_cov_13.248__7764__arylpolyene__ANTISMASH__0_7764,"Bacteroides vulgatus strain 2789STDY5834897, whole genome shotgun sequence",NZ_CZAN01000032,92.319,84,Bacteroides vulgatus,Bacteroidetes,,
C3007__NODE_1619_length_5549_cov_676.242__5549__other__ANTISMASH__0_5549,"Fusobacterium ulcerans 12-1B strain 12_1B supercont2.1, whole genome shotgun sequence",NZ_KE161007,99.417,99,Fusobacterium ulcerans 12-1B,Fusobacteria,,
C3008__NODE_58_length_80320_cov_9.89467__38512__nrps__ANTISMASH__41808_80320,"Clostridium clostridioforme 90A7 acsOa-supercont1.1, whole genome shotgun sequence",NZ_KB851045,99.917,99,Clostridium clostridioforme 90A7,Firmicutes,,
C3010__NODE_134_length_65028_cov_21.6171__41221__arylpolyene__ANTISMASH__4414_45635,"Bacteroides cellulosilyticus CL02T12C19 supercont1.1, whole genome shotgun sequence",NZ_JH724085,99.374,100,Bacteroides cellulosilyticus CL02T12C19,Bacteroidetes,,
C3011__NODE_1944_length_18488_cov_18.270005__18488__nrps__ANTISMASH__0_18488,"Blautia obeum strain 2789STDY5608837, whole genome shotgun sequence",NZ_CYZD01000004,99.993,82,Blautia obeum,Firmicutes,,
C3011__NODE_5128_length_7588_cov_13.408469__7588__lantipeptide__ANTISMASH__0_7588,"Ruminococcus sp. 5_1_39BFAA acpfZ-supercont2.3, whole genome shotgun sequence",NZ_ACII02000003,96.881,62,Ruminococcus sp. 5_1_39BFAA,Firmicutes,,
C3013__NODE_66_length_96589_cov_14.839155__36216__arylpolyene__ANTISMASH__60373_96589,"Paraprevotella xylaniphila YIT 11841 Scfld0, whole genome shotgun sequence",NZ_GL883805,98.749,98,Paraprevotella xylaniphila YIT 11841,Bacteroidetes,,
C3013__NODE_430_length_42457_cov_9.151903__22529__bacteriocin__ANTISMASH__19928_42457,"Intestinimonas butyriciproducens strain AF211, complete genome",NZ_CP011307,99.581,99,Intestinimonas butyriciproducens,Firmicutes,,
C3017__NODE_105_length_92488_cov_13.3445__39059__lantipeptide__ANTISMASH__9065_48124,"Eubacterium siraeum DSM 15702 Scfld_03_8, whole genome shotgun sequence",NZ_DS499516,97.434,92,Eubacterium siraeum DSM 15702,Firmicutes,,
C3017__NODE_742_length_38583_cov_142.623__25546__nrps__ANTISMASH__13037_38583,"Clostridium clostridioforme 90A7 acsOa-supercont1.1, whole genome shotgun sequence",NZ_KB851045,99.984,99,Clostridium clostridioforme 90A7,Firmicutes,,
C3017__NODE_4652_length_9203_cov_427.059__9203__resorcinol__ANTISMASH__0_9203,"Bacteroides uniformis strain 2789STDY5834847, whole genome shotgun sequence",NZ_CZAF01000014,99.165,88,Bacteroides uniformis,Bacteroidetes,,
C3017__NODE_5863_length_7349_cov_16.1525__7349__lantipeptide__ANTISMASH__0_7349,"Tyzzerella sp. Marseille-P3062, whole genome shotgun sequence",NZ_FNWC01000007,94.278,71,N/A,N/A,Firmicutes,Tyzzerella sp. Marseille-P3062
C3017__NODE_6131_length_7013_cov_353.034__7013__lantipeptide__ANTISMASH__0_7013,"Blautia obeum strain APC942/31-1 NODE_17_length_90818_cov_912.978, whole genome shotgun sequence",NZ_PSQG01000017,99.856,99,N/A,N/A,Firmicutes,Blautia obeum
C3017__NODE_6334_length_6785_cov_30.923__6785__resorcinol__ANTISMASH__0_6785,"Parabacteroides sp. 20_3 supercont1.39, whole genome shotgun sequence",NZ_GG775007,99.293,100,Parabacteroides sp. 20_3,Bacteroidetes,,
C3017__NODE_7099_length_6050_cov_963.044__6050__lantipeptide__ANTISMASH__0_6050,"Ruminococcus sp. 5_1_39BFAA acpfZ-supercont2.3, whole genome shotgun sequence",NZ_ACII02000003,99.895,94,Ruminococcus sp. 5_1_39BFAA,Firmicutes,,
C3022__NODE_98_length_77865_cov_77.4191__47858__arylpolyene__ANTISMASH__19344_67202,"Alistipes finegoldii strain 2789STDY5834947, whole genome shotgun sequence",NZ_CZBZ01000004,99.352,100,Alistipes finegoldii,Bacteroidetes,,
C3022__NODE_1143_length_16972_cov_13.8822__16972__microcin__ANTISMASH__0_16972,"Roseburia intestinalis L1-82 Scfld5, whole genome shotgun sequence",NZ_GG692718,99.475,93,Roseburia intestinalis L1-82,Firmicutes,,
C3027__NODE_610_length_10366_cov_7.30938__10366__lantipeptide__ANTISMASH__0_10366,"Blautia obeum strain APC942/31-1 NODE_17_length_90818_cov_912.978, whole genome shotgun sequence",NZ_PSQG01000017,99.762,97,N/A,N/A,Firmicutes,Blautia obeum
C3030__NODE_118_length_48757_cov_58.9677__30635__other__ANTISMASH__18122_48757,"Bacteroides fragilis strain DCMOUH0018B contig249, whole genome shotgun sequence",NZ_JMZZ02000225,99.426,100,Bacteroides fragilis,Bacteroidetes,,
C3032__NODE_203_length_34879_cov_20.892689__31256__resorcinol__ANTISMASH__3623_34879,"Bacteroides vulgatus strain RJ2H1 RJ2H1_RJ2H1-contig-017.17, whole genome shotgun sequence",NZ_PHJG01000017,97.869,94,Bacteroides vulgatus,Bacteroidetes,,
C3032__NODE_1567_length_8319_cov_7.793078__8319__bacteriocin__ANTISMASH__0_8319,"Clostridiales bacterium VE202-09, whole genome shotgun sequence",NZ_BAHW02000010,99.683,53,N/A,N/A,Firmicutes,Clostridiales bacterium VE202-09
C4001__NODE_12_length_233246_cov_14.3248__10490__microcin__ANTISMASH__222756_233246,"Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence",NZ_GG698602,97.625,99,Dialister invisus DSM 15470,Firmicutes,,
