BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
V1.UC5.3__NODE_751_length_45286_cov_8.53883__23138__lantipeptide__ANTISMASH__3304_26442,3.406334395,-,-,-,0.699520505,NZ_CZAW01000034,Blautia wexlerae,Firmicutes,
V1.CD22.0__NODE_7806_length_6498_cov_2.68198__6498__nrps__ANTISMASH__0_6498,2.242629724,-,-,-,0.217985708,NZ_LLKB01000001,Lachnospiraceae bacterium TF01-11,Firmicutes,
V1.CD30.0__NODE_2533_length_10430_cov_4.38101__10430__bacteriocin__ANTISMASH__0_10430,2.857693382,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.UC27.0__NODE_2811_length_11073_cov_6.69858__10335__microcin__ANTISMASH__738_11073,3.688797065,-,-,-,0.011125975,N/A,N/A,Unassigned,
O2.UC23.2__NODE_159_length_47799_cov_3.9969__35251__nrps__ANTISMASH__12548_47799,1.391942774,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD6.4__NODE_57_length_101213_cov_11.7711__30151__lantipeptide__ANTISMASH__34740_64891,3.474836409,-,-,-,0.010260846,NZ_JGEU01000044,Bacteroides fragilis str. 3783N1-6,Bacteroidetes,
V1.UC25.0__NODE_2159_length_11270_cov_2.0239__11270__lassopeptide__ANTISMASH__0_11270,1.140615715,-,-,-,0.43932307,NZ_LXMC01000002,Streptococcus salivarius,Firmicutes,
O2.UC44.0__NODE_1497_length_16547_cov_2.17742__16547__nrps__ANTISMASH__0_16547,2.908953859,-,-,-,0.022735666,N/A,N/A,Unassigned,
V1.UC2.4__NODE_255_length_44674_cov_4.17408__16798__lantipeptide__ANTISMASH__27876_44674,3.575137343,-,-,-,0.481726409,NZ_CZAW01000034,Blautia wexlerae,Firmicutes,
V1.UC23.0__NODE_598_length_25298_cov_1.78116__25298__other__ANTISMASH__0_25298,2.427976995,-,-,-,0.088119766,N/A,N/A,Unassigned,
O2.UC58.0__NODE_1442_length_16090_cov_2.00231__14880__lantipeptide__ANTISMASH__1210_16090,1.984572724,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC27.0__NODE_1005_length_22102_cov_7.35524__17754__bacteriocin__ANTISMASH__4348_22102,2.46441813,-,-,-,0.268836049,N/A,N/A,Unassigned,
O2.UC1.2__NODE_171_length_60603_cov_4.70921__23591__arylpolyene__ANTISMASH__37012_60603,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC27.2__NODE_2_length_378753_cov_10.3919__23564__lantipeptide__ANTISMASH__31105_54669,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC49.1__NODE_49_length_177599_cov_3.95034__32174__other__ANTISMASH__145425_177599,1.919256512,-,-,-,0.586543543,NZ_JMZZ02000225,Bacteroides fragilis,Bacteroidetes,
V1.UC41.0__NODE_1038_length_21452_cov_9.47997__21452__resorcinol__ANTISMASH__0_21452,2.328628481,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC13.2__NODE_224_length_71050_cov_8.33183__43258__nrps__ANTISMASH__12457_55715,2.862244197,-,-,-,0.017977281,NZ_DS480328,Clostridium sp. L2-50,Firmicutes,
O2.UC30.2__NODE_868_length_25859_cov_2.4914__11197__lantipeptide__ANTISMASH__14662_25859,2.8445776,-,-,-,0.174284028,N/A,N/A,Unassigned,
V1.UC35.4__NODE_456_length_58727_cov_17.0485__22790__lantipeptide__ANTISMASH__27_22817,1.456416035,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC52.1__NODE_77_length_140139_cov_14.3849__41215__arylpolyene__ANTISMASH__13556_54771,3.20070718,-,-,-,0.04939678,NZ_PJKR01000001,Akkermansia muciniphila,Verrucomicrobia,
O2.UC24.2__NODE_1133_length_20430_cov_2.43917__20430__nrps__ANTISMASH__0_20430,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC60.0__NODE_6002_length_5242_cov_1.37922__5242__lantipeptide__ANTISMASH__0_5242,2.438523379,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC4.5__NODE_1000_length_37862_cov_10.7748__28931__lantipeptide__ANTISMASH__8931_37862,2.416398836,-,-,-,0.056553659,N/A,N/A,Unassigned,
O2.UC41.0__NODE_911_length_24972_cov_7.42617__24972__nrps__ANTISMASH__0_24972,3.529919785,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.UC26.4__NODE_6316_length_6326_cov_1.61649__6326__arylpolyene__ANTISMASH__0_6326,2.367830182,-,-,-,0.42957136,N/A,N/A,Unassigned,
V1.CD10.0__NODE_31_length_127081_cov_12.0238__52419__nrps__ANTISMASH__62652_115071,3.561359643,-,-,-,0.067382449,NZ_FLVG01000002,Klebsiella pneumoniae,Proteobacteria,
O2.UC58.2__NODE_543_length_31008_cov_3.90172__15316__terpene__ANTISMASH__15692_31008,3.805598505,C,3.305891863,0.00013344,0.00013344,NZ_CVRQ01000026,Eubacterium rectale,Firmicutes,
V1.CD38.0__NODE_418_length_53580_cov_12.3473__35847__arylpolyene__ANTISMASH__0_35847,2.374659091,-,-,-,0.43932307,NZ_FQXY01000011,Bacteroides congonensis,Bacteroidetes,
V1.UC5.0__NODE_5234_length_5442_cov_1.49861__5442__nrps__ANTISMASH__0_5442,3.09443972,-,-,-,0.570854541,N/A,N/A,Unassigned,
V1.UC51.0__NODE_3136_length_9976_cov_5.63643__9976__hserlactone__ANTISMASH__0_9976,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC5.3__NODE_695_length_47782_cov_4.43657__22861__other__ANTISMASH__24921_47782,3.105785034,C,2.819396022,0.000236093,0.000236093,N/A,N/A,Unassigned,
V1.UC4.5__NODE_2969_length_17386_cov_5.3743__17386__nrps__ANTISMASH__0_17386,3.146615673,-,-,-,0.023044703,N/A,N/A,Unassigned,
V1.UC38.0__NODE_1803_length_16937_cov_3.06948__16937__bacteriocin__ANTISMASH__0_16937,2.311749777,-,-,-,0.347704122,NZ_KI669402,Streptococcus parasanguinis CC87K,Firmicutes,
V1.UC13.3__NODE_1776_length_15845_cov_7.91153__15845__resorcinol__ANTISMASH__0_15845,2.284622696,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC59.0__NODE_2715_length_10905_cov_1.50295__10905__bacteriocin__ANTISMASH__0_10905,3.832806472,C,3.428055521,0.000107799,0.000107799,NZ_CYYW01000025,Eubacterium rectale,Firmicutes,
V1.UC25.0__NODE_4216_length_5715_cov_1.35565__5715__nrps__ANTISMASH__0_5715,3.139498743,-,-,-,0.881418117,N/A,N/A,Unassigned,
V1.CD34.0__NODE_305_length_57288_cov_8.19183__18024__terpene__ANTISMASH__0_18024,2.066274028,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC1.0__NODE_1015_length_24083_cov_2.07129__24083__nrps__ANTISMASH__0_24083,2.908610168,-,-,-,0.613807503,NZ_CZAW01000050,Blautia wexlerae,Firmicutes,
V1.CD10.0__NODE_996_length_7562_cov_25.3104__7562__bacteriocin__ANTISMASH__0_7562,3.831247699,-,-,-,0.067382449,NZ_CP022127,Klebsiella pneumoniae,Proteobacteria,
V1.UC55.0__NODE_2040_length_22357_cov_40.4648__22357__lantipeptide__ANTISMASH__0_22357,3.137752955,-,-,-,0.142119497,NZ_PSQG01000017,Blautia obeum,Firmicutes,
O2.UC9.2__NODE_768_length_32324_cov_2.54433__32324__nrps__ANTISMASH__0_32324,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC31.0__NODE_372_length_48958_cov_14.1073__47658__nrps__ANTISMASH__1300_48958,2.538129364,-,-,-,0.809525811,N/A,N/A,Unassigned,
V1.UC29.0__NODE_322_length_52312_cov_5.69727__17242__bacteriocin__ANTISMASH__35070_52312,2.529345323,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC53.2__NODE_2899_length_9335_cov_3.46119__9335__microcin__ANTISMASH__0_9335,3.623002169,-,-,-,0.101592174,N/A,N/A,Unassigned,
O2.UC26.0__NODE_494_length_41866_cov_11.1568__15523__lantipeptide__ANTISMASH__26343_41866,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC40.0__NODE_6029_length_5349_cov_1.34549__5349__other__ANTISMASH__0_5349,1.934616162,-,-,-,0.088119766,N/A,N/A,Unassigned,
V1.CD35.1__NODE_3253_length_6724_cov_3.53741__6724__nrps__ANTISMASH__0_6724,1.943415014,-,-,-,0.542795975,N/A,N/A,Unassigned,
V1.UC50.1__NODE_79_length_121306_cov_24.6681__41221__arylpolyene__ANTISMASH__74531_115752,2.315489314,-,-,-,0.340920066,NZ_LT670820,Bacteroides togonis,Bacteroidetes,
V1.UC35.0__NODE_154_length_67301_cov_15.8463__41136__resorcinol__ANTISMASH__24061_65197,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC53.2__NODE_2488_length_10858_cov_4.68222__10858__lantipeptide__ANTISMASH__0_10858,3.669883694,-,-,-,0.231346068,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
O2.UC5.2__NODE_280_length_42813_cov_6.22938__40232__nrps__ANTISMASH__2581_42813,3.162186698,-,-,-,0.339622471,NZ_CYXZ01000018,Roseburia intestinalis,Firmicutes,
V1.UC17.2__NODE_2642_length_11701_cov_17.0616__11701__nrps__ANTISMASH__0_11701,0,-,-,-,-,NZ_NFJP01000006,Gordonibacter sp. An230,Actinobacteria,
V1.UC45.0__NODE_609_length_31069_cov_3.02051__31069__nrps__ANTISMASH__0_31069,2.557072812,-,-,-,0.691081562,N/A,N/A,Unassigned,
V1.UC30.0__NODE_1974_length_13613_cov_2.61027__13613__lantipeptide__ANTISMASH__0_13613,2.309093383,-,-,-,0.136937121,NZ_LT907978,Eubacterium hallii,Firmicutes,
V1.UC40.0__NODE_1757_length_17161_cov_1.4136__17161__lantipeptide__ANTISMASH__0_17161,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC10.2__NODE_4469_length_8210_cov_2.76321__8210__arylpolyene__ANTISMASH__0_8210,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC47.0__NODE_1225_length_22182_cov_3.87748__22182__other__ANTISMASH__0_22182,2.082501367,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC35.0__NODE_5254_length_6869_cov_1.48386__6869__nrps__ANTISMASH__0_6869,3.060148867,-,-,-,0.550546628,N/A,N/A,Unassigned,
V1.UC57.0__NODE_95_length_60198_cov_8.44494__26163__nrps__ANTISMASH__0_26163,2.665865766,-,-,-,0.070640189,NZ_DS480328,Clostridium sp. L2-50,Firmicutes,
O2.UC27.2__NODE_1726_length_11556_cov_2.57012__11556__butyrolactone__ANTISMASH__0_11556,2.510786456,-,-,-,0.17089665,NZ_PNRH01000001,Streptococcus intermedius,Firmicutes,
V1.CD35.1__NODE_2205_length_9798_cov_43.8637__9798__resorcinol__ANTISMASH__0_9798,3.536155332,CD,3.159344929,0.000277377,0.000277377,N/A,N/A,Unassigned,
V1.UC49.1__NODE_2482_length_16351_cov_2.71576__16351__arylpolyene__ANTISMASH__0_16351,1.152170953,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC59.2__NODE_227_length_63038_cov_4.467__25194__bacteriocin__ANTISMASH__37844_63038,2.55671175,-,-,-,0.213827244,NZ_DS480312,Clostridium sp. L2-50,Firmicutes,
V1.CD16.0__NODE_963_length_22607_cov_4.49574__22607__lantipeptide__ANTISMASH__0_22607,3.822098196,-,-,-,0.030742895,NZ_CZBP01000025,Blautia obeum,Firmicutes,
O2.UC38.0__NODE_27_length_108603_cov_7.52094__11429__butyrolactone__ANTISMASH__97174_108603,0,-,-,-,-,NZ_KQ089631,Klebsiella variicola,Proteobacteria,
O2.UC31.0__NODE_1560_length_14838_cov_5.41352__14838__nrps__ANTISMASH__0_14838,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC55.2__NODE_4410_length_7359_cov_1.15498__7359__t2pks__ANTISMASH__0_7359,2.924980318,-,-,-,0.109846143,N/A,N/A,Unassigned,
O2.UC44.2__NODE_752_length_28231_cov_1.44003__28231__nrps__ANTISMASH__0_28231,2.367959443,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC1.2__NODE_6241_length_6048_cov_2.74253__6048__nrps__ANTISMASH__0_6048,3.244230179,-,-,-,0.01034984,NZ_CZBS01000005,Ruminococcus torques,Firmicutes,
O2.UC50.0__NODE_43_length_109678_cov_2.66805__26723__terpene__ANTISMASH__82955_109678,3.562327853,-,-,-,0.371693865,NZ_PJKG01000003,Akkermansia muciniphila,Verrucomicrobia,
V1.UC21.4__NODE_3343_length_11194_cov_9.65356__11194__lantipeptide__ANTISMASH__0_11194,3.455455901,-,-,-,0.734841194,N/A,N/A,Unassigned,
V1.CD38.0__NODE_568_length_44807_cov_4.74365__32695__nrps__ANTISMASH__12112_44807,2.27738793,-,-,-,0.079751261,N/A,N/A,Unassigned,
V1.UC62.0__NODE_73_length_130004_cov_11.0735__44341__nrps__ANTISMASH__4183_48524,2.432735805,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC5.2__NODE_359_length_37868_cov_2.40359__21887__arylpolyene__ANTISMASH__15981_37868,2.207418227,-,-,-,0.71986919,N/A,N/A,Unassigned,
V1.CD24.0__NODE_636_length_30932_cov_2.09949__23181__other__ANTISMASH__0_23181,1.831372825,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC14.1__NODE_239_length_67088_cov_15.7021__15919__lantipeptide__ANTISMASH__51169_67088,0,-,-,-,-,NZ_BCYE01000017,Bifidobacterium dentium,Actinobacteria,
O2.UC59.2__NODE_929_length_27440_cov_3.68428__27440__lantipeptide__ANTISMASH__0_27440,3.285374525,-,-,-,0.133662379,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
O2.UC18.2__NODE_2592_length_12045_cov_1.81593__12045__ladderane__ANTISMASH__0_12045,1.346993588,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC14.1__NODE_397_length_46579_cov_3.97444__45038__nrps__ANTISMASH__0_45038,0,-,-,-,-,NZ_GG700630,Slackia exigua (strain ATCC 700122 / DSM 15923 / CIP 105133 / JCM 11022 / KCTC 5966 / S-7),Actinobacteria,
O2.UC1.2__NODE_6481_length_5853_cov_1.25371__5853__bacteriocin__ANTISMASH__0_5853,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC49.1__NODE_465_length_62164_cov_14.6778__32615__other__ANTISMASH__0_32615,1.215383963,-,-,-,0.586543543,NZ_LT594621,Culturomica massiliensis,Bacteroidetes,
V1.UC11.0__NODE_968_length_19914_cov_2.10665__19914__bacteriocin__ANTISMASH__0_19914,2.581607607,-,-,-,0.161884617,NC_017927,Streptococcus thermophilus MN-ZLW-002,Firmicutes,
O2.UC17.2__NODE_1356_length_18657_cov_1.93823__18657__arylpolyene__ANTISMASH__0_18657,1.766818215,-,-,-,0.347704122,N/A,N/A,Unassigned,
V1.CD18.0__NODE_483_length_43980_cov_3.2741__43980__nrps__ANTISMASH__0_43980,2.27985464,-,-,-,0.685873758,N/A,N/A,Unassigned,
V1.UC14.1__NODE_2873_length_6706_cov_3.45647__6706__arylpolyene__ANTISMASH__0_6706,0,-,-,-,-,NZ_GL586311,Prevotella buccae ATCC 33574,Bacteroidetes,
V1.UC55.0__NODE_3541_length_13591_cov_33.0346__13591__bacteriocin__ANTISMASH__0_13591,2.813978061,-,-,-,0.036907771,N/A,N/A,Unassigned,
O2.UC58.2__NODE_4274_length_7670_cov_1.22469__7670__other__ANTISMASH__0_7670,2.200682485,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC59.0__NODE_2938_length_10198_cov_1.24352__10198__nrps__ANTISMASH__0_10198,3.873331725,C,3.408700823,0.000388842,0.000388842,NC_012781,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Firmicutes,
V1.UC13.3__NODE_8_length_352946_cov_11.3323__43253__nrps__ANTISMASH__246457_289710,3.388376989,C,2.840571891,0.003535206,0.003535206,NZ_CYZD01000004,Blautia obeum,Firmicutes,
V1.CD18.0__NODE_1164_length_21122_cov_8.21588__13126__bacteriocin__ANTISMASH__7996_21122,2.369755497,-,-,-,0.065953933,NZ_KQ969241,Streptococcus lutetiensis,Firmicutes,
O2.UC56.2__NODE_2383_length_10856_cov_1.40771__10856__nrps__ANTISMASH__0_10856,2.015972259,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC30.0__NODE_203_length_57414_cov_1.85172__10528__bacteriocin__ANTISMASH__4837_15365,1.449403633,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD22.0__NODE_123_length_108932_cov_10.7286__47458__nrps__ANTISMASH__36365_83823,2.942707855,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC35.2__NODE_7337_length_5013_cov_1.49254__5013__other__ANTISMASH__0_5013,2.766772274,-,-,-,0.088119766,N/A,N/A,Unassigned,
O2.UC30.0__NODE_223_length_41413_cov_2.21268__33210__other__ANTISMASH__0_33210,2.620492481,-,-,-,0.375079696,NZ_CP016394,Streptococcus thermophilus,Firmicutes,
O2.UC37.0__NODE_1047_length_20443_cov_3.24088__15779__bacteriocin__ANTISMASH__4664_20443,3.643770567,C,3.26289309,0.001615597,0.001615597,NC_012781,Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) (Eubacterium rectale),Firmicutes,
V1.UC21.4__NODE_379_length_57398_cov_4.0252__39556__arylpolyene__ANTISMASH__0_39556,0,-,-,-,-,NZ_KQ089963,Enterobacter sp. BIDMC99,Proteobacteria,
O2.UC34.2__NODE_1070_length_16460_cov_9.64194__16460__bacteriocin__ANTISMASH__0_16460,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC49.1__NODE_980_length_36750_cov_7.25461__36401__other__ANTISMASH__349_36750,1.420261921,-,-,-,0.366936672,N/A,N/A,Unassigned,
O2.UC19.2__NODE_4176_length_5559_cov_1.11047__5559__nrps__ANTISMASH__0_5559,1.659868304,-,-,-,0.947522508,NZ_BAIB02000005,Clostridiales bacterium VE202-14,Firmicutes,
V1.CD16.0__NODE_44_length_103291_cov_3.99936__42499__other__ANTISMASH__51454_93953,1.872423814,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC10.2__NODE_1689_length_17780_cov_3.95876__17780__other__ANTISMASH__0_17780,3.002651149,C,2.725866507,0.000332358,0.000332358,N/A,N/A,Unassigned,
V1.UC21.4__NODE_1318_length_24264_cov_18.7472__24264__lantipeptide__ANTISMASH__0_24264,2.609840309,-,-,-,0.43932307,NZ_CZAW01000028,Blautia wexlerae,Firmicutes,
O2.UC2.2__NODE_3431_length_10524_cov_1.98997__10524__lassopeptide__ANTISMASH__0_10524,2.22838154,-,-,-,0.487209713,N/A,N/A,Unassigned,
O2.UC29.2__NODE_3050_length_8127_cov_1.43459__8127__lassopeptide__ANTISMASH__0_8127,3.16581968,-,-,-,0.035282468,N/A,N/A,Unassigned,
V1.UC11.0__NODE_2662_length_8372_cov_1.74161__8372__nrps__ANTISMASH__0_8372,3.670415476,-,-,-,0.136133297,NZ_CZBP01000019,Blautia obeum,Firmicutes,
V1.UC33.0__NODE_5407_length_7636_cov_2.11859__7636__nrps__ANTISMASH__0_7636,2.509441393,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.CD17.4__NODE_1621_length_22473_cov_11.857__22473__t1pks__ANTISMASH__0_22473,2.428877506,-,-,-,0.896383995,N/A,N/A,Unassigned,
V1.UC49.1__NODE_907_length_38752_cov_5.45184__38752__nrps__ANTISMASH__0_38752,1.815586858,-,-,-,0.206333834,N/A,N/A,Unassigned,
V1.CD19.0__NODE_1531_length_22879_cov_29.4335__22879__arylpolyene__ANTISMASH__0_22879,2.420810879,-,-,-,0.586543543,NZ_NFKD01000002,Bacteroides sp. An19,Bacteroidetes,
O2.UC27.0__NODE_1358_length_18223_cov_13.1286__18223__t2pks__ANTISMASH__0_18223,3.812391285,C,3.348255353,0.000162657,0.000162657,NZ_CZBU01000001,Eubacterium eligens,Firmicutes,
V1.UC36.0__NODE_16_length_222133_cov_4.23028__43059__nrps__ANTISMASH__176842_219901,2.408305229,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.CD29.0__NODE_396_length_45877_cov_2.9708__42511__resorcinol__ANTISMASH__3366_45877,3.223961249,-,-,-,0.038290265,NZ_JH376593,Paraprevotella clara YIT 11840,Bacteroidetes,
O2.UC35.0__NODE_6199_length_5959_cov_1.24932__5959__nrps__ANTISMASH__0_5959,3.530553973,-,-,-,0.105500276,NZ_CZBP01000007,Blautia obeum,Firmicutes,
O2.UC59.2__NODE_71_length_112862_cov_3.17115__26134__bacteriocin__ANTISMASH__86728_112862,3.328011053,-,-,-,0.088119766,N/A,N/A,Unassigned,
O2.UC27.2__NODE_1545_length_12887_cov_2.17152__12887__lantipeptide__ANTISMASH__0_12887,0,-,-,-,-,NC_015760,Streptococcus salivarius (strain CCHSS3),Firmicutes,
O2.UC52.0__NODE_504_length_34286_cov_4.04046__20171__terpene__ANTISMASH__0_20171,2.398169461,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.UC29.0__NODE_2159_length_10983_cov_2.64165__10983__other__ANTISMASH__0_10983,2.954460853,C,2.721186217,0.001007456,0.001007456,N/A,N/A,Unassigned,
V1.UC5.3__NODE_477_length_58475_cov_7.91773__10194__microcin__ANTISMASH__0_10194,3.838535366,-,-,-,0.222541273,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes,
V1.UC48.0__NODE_3300_length_12590_cov_4.88895__12590__bacteriocin__ANTISMASH__0_12590,2.543244033,-,-,-,0.17089665,NZ_LDDQ01000006,Escherichia coli,Proteobacteria,
O2.UC18.2__NODE_595_length_33614_cov_4.80688__23727__lantipeptide__ANTISMASH__9887_33614,2.859873143,-,-,-,0.178979686,N/A,N/A,Unassigned,
V1.UC28.0__NODE_5425_length_5327_cov_5.02466__5327__nrps__ANTISMASH__0_5327,4.104946263,-,-,-,0.229210152,NZ_ADMO01000148,Bacteroides ovatus SD CMC 3f,Bacteroidetes,
O2.UC4.2__NODE_2505_length_13848_cov_1.68404__13848__lantipeptide__ANTISMASH__0_13848,1.479327474,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC54.0__NODE_4360_length_12733_cov_2.7946__7756__bacteriocin__ANTISMASH__4977_12733,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD35.0__NODE_1474_length_8859_cov_1.95695__8859__arylpolyene__ANTISMASH__0_8859,1.393108726,-,-,-,0.065953933,N/A,N/A,Unassigned,
V1.CD21.4__NODE_96_length_78674_cov_12.4833__38520__lantipeptide__ANTISMASH__40154_78674,3.468151808,-,-,-,0.010260846,NZ_LN877293,Bacteroides fragilis,Bacteroidetes,
O2.UC26.2__NODE_245_length_65280_cov_19.1839__52086__nrps__ANTISMASH__0_52086,3.189182209,-,-,-,0.722638171,NZ_FMMH01000009,Clostridioides difficile,Firmicutes,
V1.UC26.4__NODE_1414_length_26787_cov_21.6012__26787__other__ANTISMASH__0_26787,3.249245927,-,-,-,0.194856871,NZ_LNKF01000006,Bifidobacterium adolescentis,Actinobacteria,
V1.CD7.4__NODE_615_length_36195_cov_6.48605__23288__lantipeptide__ANTISMASH__12907_36195,2.879919067,-,-,-,0.568084013,NZ_JEOD01000003,Bifidobacterium pseudocatenulatum IPLA36007,Actinobacteria,
O2.UC30.0__NODE_66_length_65351_cov_3.70009__25017__lantipeptide__ANTISMASH__0_25017,2.375266383,-,-,-,0.070640189,N/A,N/A,Unassigned,
O2.UC51.2__NODE_4995_length_8991_cov_2.1833__8991__transatpks__ANTISMASH__0_8991,2.261714358,-,-,-,0.17089665,N/A,N/A,Unassigned,
